ch,x,y,z,int
1,1881,1723,1,16728
1,1872,542,1,16898
1,535,970,1,16999
1,1754,860,1,16849
1,567,1594,1,16518
1,1070,691,1,16593
1,664,275,1,16600
1,1918,466,1,16254
1,879,1028,1,16147
1,631,975,1,16266
1,1673,1693,1,16786
1,1241,256,1,15651
1,165,1612,1,15339
1,1022,1647,1,15818
1,535,41,1,15707
1,1187,1346,1,14810
1,1654,1768,1,15010
1,1882,811,1,13838
1,1117,1302,1,15782
1,701,134,1,14449
1,559,477,1,14963
1,110,787,1,14752
1,56,1684,1,14324
1,1963,1773,1,15127
1,1623,917,1,14254
1,828,101,1,14875
1,750,547,1,15818
1,1003,1923,1,13404
1,170,161,1,13242
1,1017,1616,1,14259
1,709,1603,1,14675
1,1651,620,1,14255
1,340,1831,1,13989
1,495,397,1,14587
1,1993,1895,1,14069
1,2013,523,1,14317
1,440,1059,1,15232
1,1763,712,1,14609
1,453,476,1,14419
1,1973,1801,1,14000
1,1117,523,1,13420
1,535,1783,1,13529
1,1730,422,1,12497
1,1522,1742,1,13197
1,1092,1414,1,13149
1,1441,36,1,14118
1,663,1034,1,13227
1,720,624,1,14253
1,887,185,1,12788
1,523,1640,1,13437
1,1228,1328,1,13253
1,2025,1833,1,12279
1,556,415,1,12434
1,1717,1004,1,12034
1,999,282,1,14538
1,389,1166,1,12655
1,1879,1807,1,11520
1,625,1981,1,12008
1,119,1162,1,12327
1,1744,1191,1,12707
1,1848,1755,1,11484
1,1744,757,1,12175
1,649,375,1,13039
1,1654,104,1,11970
1,1864,1713,1,12291
1,1850,860,1,11390
1,1169,1527,1,12563
1,90,323,1,11765
1,446,415,1,11593
1,498,1696,1,11712
1,780,1009,1,12330
1,1608,1638,1,12393
1,31,1080,1,56659
1,541,915,1,11411
1,1918,1056,1,12332
1,1576,1597,1,10814
1,1699,1576,1,10431
1,1933,1691,1,11780
1,1022,714,1,10287
1,223,1207,1,11336
1,10,1350,1,11032
1,1973,1881,1,10927
1,811,2011,1,10965
1,413,1964,1,10822
1,115,401,1,10684
1,1813,431,1,11540
1,846,1675,1,10426
1,62,1707,1,10630
1,966,4,1,10391
1,511,1587,1,10483
1,298,1525,1,10621
1,510,1930,1,10870
1,1686,821,1,10008
1,1699,1326,1,10665
1,405,1391,1,11196
1,169,42,1,9468
1,554,1779,1,10665
1,1959,440,1,9970
1,1899,881,1,9529
1,1959,1560,1,9736
1,488,1675,1,10283
1,1634,1310,1,10172
1,753,471,1,10572
1,466,551,1,10275
1,198,701,1,8469
1,452,1972,1,9876
1,878,856,1,9849
1,2037,520,1,10151
1,1871,1892,1,8762
1,1768,20,1,9560
1,457,56,1,9309
1,1200,1461,1,9349
1,675,288,1,9426
1,1508,1585,1,8773
1,624,1913,1,9192
1,392,1517,1,10003
1,664,600,1,9563
1,102,1564,1,9278
1,1294,1182,1,8543
1,282,1950,1,8688
1,1992,1145,1,8751
1,1005,1901,1,8354
1,1534,1306,1,9381
1,1135,1972,1,9013
1,1697,1502,1,9024
1,478,1919,1,8782
1,509,1771,1,8983
1,226,1160,1,8723
1,978,312,1,8295
1,498,560,1,8981
1,597,1725,1,8321
1,62,1802,1,8156
1,756,829,1,8442
1,407,1776,1,8062
1,1996,1888,1,8281
1,586,532,1,8332
2,877,927,0,39676
2,1419,1254,0,37153
2,217,479,0,28052
2,1176,1335,0,28465
2,1563,1715,0,24323
2,987,992,0,27138
2,948,777,0,26217
2,1868,1185,0,25264
2,1688,1409,0,25035
2,1657,1572,0,24113
2,1429,1518,0,20407
2,1401,941,0,20861
2,1795,472,0,19684
2,1067,1606,0,19620
2,1187,1346,0,18219
2,1763,711,0,18519
2,1834,570,0,16268
2,1744,1191,0,16694
2,612,1264,0,15436
2,1623,917,0,16749
2,1116,1302,0,16871
2,1636,1886,0,14045
2,916,980,0,12217
2,638,459,0,14905
2,1505,1487,0,12810
2,2012,1673,0,12956
2,1228,1328,0,15449
2,1918,466,0,13297
2,1872,542,0,12790
2,534,970,0,13234
2,968,1345,0,11552
2,1634,1310,0,13696
2,623,612,0,10818
2,31,1080,0,56236
2,719,624,0,13948
2,877,856,0,14417
2,1168,1526,0,12390
2,1813,430,0,12923
2,515,423,0,11407
2,1092,1413,0,12781
2,585,787,0,12381
2,1559,102,0,9885
2,630,975,0,12250
2,2013,523,0,10808
2,2014,1353,0,10921
2,567,1594,0,10884
2,1609,1046,0,10691
2,1881,1723,0,10540
2,1673,1693,0,11022
2,1216,2040,0,10316
2,1912,1738,0,9945
2,1933,1690,0,10096
2,749,546,0,11521
2,1017,1616,0,11798
2,1116,246,0,10671
2,1013,536,0,11213
2,335,1851,0,8866
2,565,566,0,10081
2,329,1239,0,8935
2,1021,1646,0,10739
2,1651,619,0,10575
2,1441,35,0,10428
2,1608,1638,0,10734
2,827,100,0,9595
2,1816,1611,0,9499
2,440,1059,0,9886
2,1534,1306,0,10632
2,1228,1507,0,9068
2,1918,1056,0,10014
2,723,768,0,7795
2,667,323,0,9145
2,541,915,0,9581
2,2017,1902,0,8250
2,1107,1541,0,8100
2,708,1602,0,8789
2,1761,687,0,10061
2,998,282,0,5958
2,466,550,0,8424
2,559,477,0,8875
2,1963,1773,0,7781
2,534,40,0,8001
2,1744,757,0,9038
2,295,1462,0,7976
2,395,1099,0,7340
2,495,397,0,7929
2,1101,399,0,8983
2,1754,860,0,7237
2,1993,1895,0,7188
2,510,1586,0,7056
2,586,532,0,7389
2,452,476,0,6959
2,752,470,0,7620
2,663,274,0,5903
2,1960,439,0,7232
2,484,976,0,5920
2,100,1404,0,5903
2,1768,20,0,6765
2,2039,1816,0,6324
2,488,1604,0,6681
2,756,828,0,7780
2,379,1221,0,6570
2,514,1415,0,7134
2,172,515,0,6619
2,556,415,0,6936
2,602,318,0,6614
2,648,374,0,6775
2,475,1873,0,6084
2,2037,519,0,6557
2,1973,1881,0,6223
2,227,1855,0,5383
2,414,577,0,6659
2,2025,1833,0,6188
2,1199,1461,0,7234
2,1653,1768,0,6418
2,1793,831,0,5328
2,1699,1326,0,5987
2,834,43,0,5230
2,930,1068,0,5934
2,2009,1602,0,5215
2,2016,1971,0,5207
2,1973,1801,0,5733
2,1070,691,0,5317
2,700,133,0,4652
2,886,185,0,5129
2,1653,103,0,4763
2,1240,255,0,5193
2,878,1028,0,5125
2,131,1352,0,4739
2,222,1207,0,5098
2,1863,1713,0,4757
2,109,786,0,4729
2,1730,421,0,4409
2,404,1390,0,5133
2,675,288,0,5040
2,841,1012,0,4506
2,1471,1513,0,4591
2,1675,1029,0,4520
2,1521,1742,0,4597
2,1848,1755,0,4331
2,839,1027,0,4012
2,1116,522,0,4058
2,1996,1888,0,4882
2,621,698,0,3895
2,534,1782,0,4464
2,389,1165,0,3983
2,119,1162,0,4144
2,392,1516,0,4154
2,1879,1806,0,3883
2,487,1675,0,4184
2,1881,810,0,3780
2,165,1612,0,3806
2,89,322,0,3685
2,509,1771,0,4044
2,1686,821,0,3409
2,1697,1502,0,4141
2,1849,859,0,3532
2,663,599,0,3374
2,412,1964,0,3215
2,169,159,0,3339
2,406,1775,0,3355
2,662,1033,0,3151
2,497,1695,0,3552
2,553,1779,0,3407
2,1021,713,0,3298
2,810,2010,0,3369
2,1576,1597,0,2957
2,114,400,0,2871
2,297,1524,0,3340
2,2005,381,0,3264
2,451,1971,0,2981
2,1958,1560,0,2716
2,779,1009,0,2939
2,624,1981,0,2726
2,1716,1003,0,2907
2,101,1564,0,2733
2,596,1725,0,2711
2,1134,1972,0,2767
2,81,293,0,2755
2,9,1350,0,2877
2,339,1830,0,2803
2,845,1675,0,2761
2,498,559,0,3078
2,456,55,0,2836
2,509,1930,0,2806
2,477,1919,0,2711
2,446,414,0,2658
2,1899,881,0,2637
2,1376,868,0,2812
2,523,1639,0,2950
2,168,41,0,2656
2,225,1160,0,2924
2,55,1683,0,2636
2,965,3,0,2699
2,1661,921,0,4375
2,1289,1431,0,3518
2,59,1441,0,3547
2,385,1806,0,3464
2,43,675,0,3186
2,1042,1722,0,3123
2,1631,855,0,2749
2,217,479,1,41357
2,877,928,1,41394
2,1176,1336,1,36885
2,1564,1715,1,33971
2,987,992,1,35050
2,1429,1519,1,31647
2,1419,1254,1,33546
2,948,777,1,31423
2,1657,1572,1,27973
2,1868,1185,1,27409
2,1688,1409,1,27563
2,1401,941,1,26119
2,1067,1606,1,23560
2,1795,472,1,23151
2,916,981,1,17808
2,612,1264,1,19615
2,1636,1887,1,18632
2,1834,570,1,20091
2,968,1346,1,17809
2,1505,1487,1,17463
2,638,459,1,20099
2,1763,711,1,19687
2,1187,1346,1,19054
2,534,970,1,19371
2,623,612,1,14459
2,1116,1302,1,19197
2,515,423,1,16885
2,1918,466,1,16884
2,2012,1673,1,15979
2,1744,1191,1,16692
2,567,1594,1,16424
2,1872,542,1,15435
2,335,1851,1,13476
2,719,624,1,17495
2,329,1239,1,14432
2,1623,917,1,16221
2,1216,2040,1,14708
2,1168,1527,1,16367
2,1813,430,1,16000
2,1559,102,1,12773
2,1609,1046,1,15241
2,584,787,1,14902
2,2013,523,1,13969
2,630,975,1,15548
2,723,768,1,12942
2,2014,1353,1,13698
2,1881,1723,1,13374
2,565,566,1,14429
2,1116,246,1,14217
2,1673,1693,1,14412
2,1092,1414,1,14369
2,1912,1739,1,12661
2,1933,1691,1,13454
2,1228,1328,1,14681
2,1017,1616,1,14988
2,749,546,1,14552
2,1107,1541,1,12626
2,827,100,1,13652
2,440,1059,1,13198
2,877,856,1,14460
2,1634,1310,1,13245
2,1651,619,1,13604
2,31,1080,1,56351
2,1013,536,1,12923
2,667,323,1,12582
2,1021,1647,1,12702
2,1441,35,1,12865
2,295,1462,1,12187
2,2017,1902,1,10980
2,1228,1507,1,11630
2,1608,1638,1,13061
2,466,550,1,11997
2,1816,1612,1,11892
2,534,40,1,11214
2,708,1603,1,12037
2,395,1100,1,11370
2,559,477,1,12086
2,541,915,1,12383
2,1963,1773,1,10810
2,998,282,1,7345
2,510,1586,1,10666
2,1744,757,1,11540
2,495,397,1,11101
2,379,1221,1,10399
2,475,1873,1,9889
2,484,976,1,9764
2,100,1404,1,9007
2,1754,860,1,10080
2,172,515,1,9655
2,227,1855,1,8383
2,452,476,1,9901
2,663,275,1,9627
2,1993,1895,1,9238
2,1918,1056,1,10847
2,488,1605,1,9617
2,1761,687,1,11016
2,1534,1306,1,10906
