hyb,ch,x,y,z,int
0,1,1331.0,519.0,3.0,800
0,1,1304.0,512.0,2.0,794
0,1,1368.0,540.0,0.0,541
0,1,1295.0,530.0,1.0,530
0,1,1381.0,536.0,2.0,610
0,1,1381.0,536.0,0.0,562
0,1,1381.0,536.0,6.0,539
0,1,1310.0,496.0,6.0,517
0,1,1305.0,530.0,0.0,500
0,1,1305.0,530.0,3.0,503
1,1,1294.805,493.012,0.0,983
1,1,1305.805,484.012,2.0,999
1,1,1309.805,522.012,6.0,938
1,1,1294.805,522.012,0.0,809
1,1,1375.805,541.012,5.0,821
1,1,1328.805,507.012,2.0,769
1,1,1322.805,503.012,4.0,694
1,1,1313.805,509.012,0.0,683
1,1,1315.805,505.012,5.0,760
1,1,1296.805,518.012,3.0,644
1,1,1301.805,520.012,0.0,658
1,1,1326.805,518.012,0.0,591
1,1,1311.805,511.012,3.0,655
1,1,1291.805,524.012,2.0,692
1,1,1325.805,529.012,0.0,588
1,1,1311.805,501.012,6.0,563
1,1,1290.805,512.012,1.0,665
1,1,1306.805,511.012,1.0,578
1,1,1301.805,492.012,4.0,558
1,1,1380.805,537.012,4.0,601
1,1,1380.805,537.012,1.0,565
1,1,1314.805,510.012,6.0,549
1,1,1303.805,513.012,4.0,608
1,1,1303.805,513.012,0.0,576
2,1,1302.173,525.339,5.0,947
2,1,1295.173,520.339,2.0,779
2,1,1281.173,512.339,5.0,790
2,1,1294.173,529.339,0.0,585
2,1,1314.1729999999998,496.339,4.0,718
2,1,1315.1729999999998,519.339,4.0,689
2,1,1345.1729999999998,541.339,6.0,689
2,1,1314.1729999999998,506.339,4.0,701
2,1,1343.1729999999998,547.339,0.0,681
2,1,1339.1729999999998,536.339,5.0,701
2,1,1332.1729999999998,526.339,5.0,679
2,1,1306.173,511.339,0.0,656
2,1,1318.1729999999998,502.339,5.0,727
2,1,1339.1729999999998,527.339,6.0,562
2,1,1325.1729999999998,505.339,3.0,605
2,1,1378.1729999999998,542.339,4.0,576
2,1,1325.1729999999998,498.339,6.0,575
2,1,1351.1729999999998,526.339,2.0,554
2,1,1377.1729999999998,531.339,0.0,555
2,1,1309.173,509.339,2.0,697
2,1,1315.1729999999998,510.339,0.0,600
2,1,1295.173,535.339,6.0,550
2,1,1304.173,513.339,6.0,626
2,1,1297.173,491.339,1.0,548
2,1,1307.173,512.339,4.0,554
2,1,1381.1729999999998,537.339,1.0,627
2,1,1381.1729999999998,537.339,6.0,588
2,1,1291.173,512.339,0.0,545
3,1,1381.196,537.871,0.0,587
3,1,1381.196,537.871,4.0,548
3,1,1304.196,513.871,0.0,538
3,1,1305.196,531.871,5.0,547
4,1,1370.918,545.993,0.0,649
4,1,1323.918,528.993,4.0,748
4,1,1320.918,543.993,0.0,582
4,1,1292.918,528.993,6.0,543
4,1,1311.918,546.993,4.0,535
4,1,1380.918,537.993,6.0,625
4,1,1304.918,531.993,2.0,593
4,1,1380.918,537.993,1.0,619
4,1,1298.918,483.99300000000005,3.0,532
4,1,1303.918,513.993,0.0,577
4,1,1290.918,512.993,0.0,527
4,1,1303.918,513.993,3.0,546
5,1,1305.483,510.117,6.0,700
5,1,1297.483,523.117,5.0,723
5,1,1354.483,553.117,0.0,688
5,1,1290.483,526.117,1.0,635
5,1,1292.483,523.117,5.0,680
5,1,1326.483,519.117,5.0,666
5,1,1318.483,520.117,0.0,626
5,1,1328.483,494.117,0.0,598
5,1,1328.483,497.117,0.0,667
5,1,1348.483,549.117,4.0,626
5,1,1279.483,511.117,3.0,594
5,1,1323.483,503.117,2.0,581
5,1,1304.483,514.117,0.0,707
5,1,1319.483,492.117,6.0,584
5,1,1318.483,524.117,3.0,609
5,1,1288.483,519.117,1.0,558
5,1,1314.483,508.117,0.0,560
5,1,1320.483,491.117,3.0,570
5,1,1322.483,519.117,6.0,583
5,1,1382.483,526.117,0.0,536
5,1,1306.483,548.117,0.0,632
5,1,1305.483,532.117,6.0,593
5,1,1278.483,507.117,1.0,559
5,1,1304.483,514.117,6.0,607
5,1,1381.483,538.117,6.0,591
5,1,1299.483,484.117,0.0,541
5,1,1381.483,538.117,4.0,611
5,1,1381.483,538.117,2.0,613
5,1,1381.483,538.117,0.0,573
5,1,1305.483,532.117,0.0,535
5,1,1305.483,532.117,3.0,558
6,1,1353.446,550.13,0.0,662
6,1,1314.446,511.13,5.0,677
6,1,1324.446,548.13,4.0,612
6,1,1308.446,510.13,3.0,561
6,1,1319.446,529.13,2.0,518
6,1,1317.446,506.13,6.0,565
6,1,1289.446,531.13,6.0,540
6,1,1381.446,538.13,5.0,607
6,1,1381.446,538.13,0.0,579
6,1,1304.446,514.13,0.0,558
6,1,1304.446,514.13,6.0,547
6,1,1338.446,531.13,4.0,536
6,1,1291.446,513.13,0.0,532
6,1,1305.446,532.13,4.0,526
6,1,1306.446,548.13,6.0,518
6,1,1305.446,532.13,0.0,520
7,1,1288.5410000000004,515.651,2.0,789
7,1,1298.5410000000004,496.651,5.0,815
7,1,1352.5410000000004,550.651,2.0,578
7,1,1306.5410000000004,505.651,1.0,606
7,1,1305.5410000000004,542.651,0.0,564
7,1,1345.5410000000004,545.651,6.0,547
7,1,1381.5410000000004,538.651,2.0,653
