ch,x,y,z,int
2,1653,1768,1,8250
2,2037,519,1,8233
2,1960,439,1,9027
2,700,133,1,6963
2,878,1028,1,7570
2,1240,255,1,7402
2,222,1207,1,7670
2,756,828,1,8685
2,109,786,1,7061
2,841,1012,1,6319
2,1730,421,1,6191
2,1863,1713,1,6723
2,534,1782,1,6653
2,1675,1029,1,6248
2,1116,522,1,5762
2,1521,1742,1,6280
2,621,698,1,5436
2,839,1027,1,5610
2,487,1675,1,6810
2,1199,1461,1,6783
2,1881,810,1,5447
2,663,599,1,5425
2,553,1779,1,5629
2,1849,859,1,4876
2,451,1971,1,4966
2,624,1981,1,4602
2,297,1524,1,5131
2,497,1695,1,5053
2,779,1009,1,4450
2,1021,713,1,4343
2,9,1350,1,4549
2,101,1564,1,4711
2,114,400,1,3972
2,1716,1003,1,4240
2,509,1930,1,4608
2,845,1675,1,3792
2,1134,1972,1,4030
2,81,293,1,3998
2,1958,1560,1,3904
2,456,55,1,3935
2,446,414,1,4057
2,477,1919,1,4120
2,1698,1575,1,3845
2,378,783,1,3991
2,168,41,1,3451
2,1661,921,1,4447
2,1289,1431,1,3555
2,59,1441,1,3572
3,216,479,0,65535
3,1834,569,0,65535
3,1013,535,0,65535
3,1919,465,0,55566
3,1872,541,0,53322
3,998,281,0,58252
3,2014,522,0,49554
3,584,787,0,47471
3,601,318,0,37051
3,439,1059,0,38308
3,378,1221,0,32929
3,414,576,0,34533
3,558,477,0,34533
3,585,532,0,33689
3,171,514,0,23504
3,118,1162,0,24924
3,508,1771,0,25124
3,1768,19,0,26902
3,834,42,0,23438
3,294,1462,0,22754
3,886,184,0,20845
3,494,397,0,24345
3,2006,380,0,23855
3,452,475,0,21866
3,497,559,0,20063
3,378,783,0,19392
3,164,1612,0,17213
3,445,414,0,15166
3,620,698,0,15871
3,1379,977,0,16664
3,88,322,0,11205
3,977,310,0,12004
3,483,334,0,11783
3,100,1564,0,9573
3,965,1,0,12100
3,196,700,0,8400
3,168,159,0,8551
3,986,992,1,65535
3,1066,1606,1,62995
3,1834,569,1,64970
3,877,927,1,48405
3,118,1162,1,65535
3,171,514,1,61645
3,378,1221,1,65535
3,663,274,1,65373
3,514,423,1,57814
3,1872,541,1,53914
3,886,184,1,53611
3,465,550,1,52696
3,2013,522,1,45001
3,601,318,1,45394
3,1918,465,1,39502
3,998,281,1,47372
3,1013,535,1,41618
3,439,1059,1,46189
3,1418,1254,1,30719
3,558,477,1,41373
3,224,1160,1,38433
3,452,475,1,39989
3,497,559,1,41392
3,1768,19,1,37374
3,648,374,1,38612
3,494,397,1,34786
3,89,322,1,31861
3,1187,1345,1,24520
3,1744,1190,1,26309
3,585,532,1,32350
3,8,1350,1,28123
3,1996,1889,1,32171
3,2006,380,1,26614
3,463,881,1,23007
3,675,287,1,20646
