hyb,ch,x,y,z,int
0,1,179.0,1105.0,5.0,754
0,1,166.0,1118.0,2.0,662
0,1,161.0,1145.0,1.0,648
0,1,215.0,1128.0,6.0,599
0,1,181.0,1128.0,2.0,504
0,1,226.0,1106.0,5.0,516
0,1,178.0,1129.0,6.0,605
0,1,235.0,1101.0,6.0,554
0,1,235.0,1101.0,3.0,524
0,1,178.0,1129.0,1.0,567
0,1,235.0,1101.0,0.0,511
0,1,208.0,1093.0,2.0,500
1,1,170.805,1126.012,6.0,1387
1,1,187.805,1142.012,3.0,754
1,1,155.805,1137.012,6.0,731
1,1,202.805,1097.012,6.0,691
1,1,182.805,1086.012,6.0,632
1,1,182.805,1102.012,6.0,686
1,1,242.805,1109.012,0.0,646
1,1,216.805,1102.012,6.0,650
1,1,165.805,1086.012,4.0,657
1,1,209.805,1100.012,3.0,631
1,1,253.805,1091.012,2.0,690
1,1,215.805,1099.012,1.0,625
1,1,235.805,1109.012,0.0,563
1,1,177.805,1130.012,2.0,680
1,1,189.805,1081.012,5.0,619
1,1,184.805,1142.012,0.0,644
1,1,174.805,1084.012,6.0,580
1,1,185.805,1131.012,1.0,559
1,1,184.805,1078.012,4.0,597
2,1,187.173,1084.339,1.0,1051
2,1,189.173,1129.339,3.0,988
2,1,167.173,1148.339,1.0,886
2,1,152.173,1119.339,3.0,736
2,1,208.173,1106.339,3.0,712
2,1,168.173,1109.339,4.0,732
2,1,184.173,1090.339,4.0,750
2,1,179.173,1128.339,3.0,802
2,1,189.173,1080.339,5.0,772
2,1,203.173,1083.339,6.0,712
2,1,191.173,1136.339,4.0,716
2,1,190.173,1143.339,0.0,676
2,1,174.173,1082.339,6.0,655
2,1,201.173,1098.339,3.0,623
2,1,215.173,1099.339,6.0,587
2,1,225.173,1114.339,4.0,666
2,1,220.173,1118.339,3.0,624
2,1,231.173,1115.339,4.0,565
2,1,245.173,1105.339,5.0,647
2,1,169.173,1103.339,0.0,561
2,1,220.173,1112.339,4.0,603
2,1,155.173,1091.339,5.0,613
2,1,185.173,1130.339,0.0,590
2,1,200.173,1090.339,3.0,563
2,1,150.173,1096.339,3.0,545
2,1,185.173,1078.339,4.0,647
2,1,235.173,1102.339,4.0,554
3,1,185.196,1078.871,0.0,537
4,1,208.918,1134.993,4.0,954
4,1,214.918,1123.993,6.0,927
4,1,175.918,1116.993,1.0,858
4,1,170.918,1090.993,0.0,860
4,1,207.918,1137.993,6.0,905
4,1,154.918,1099.993,3.0,838
4,1,170.918,1103.993,0.0,802
4,1,202.918,1113.993,6.0,762
4,1,183.918,1134.993,0.0,693
