hyb,ch,x,y,z,int
0,1,968.0,1952.0,0.0,830
1,1,910.801,1929.017,6.0,611
2,1,932.203,1898.32,3.0,723
2,1,960.203,1968.32,1.0,606
2,1,912.203,1956.32,2.0,549
3,1,957.194,1944.903,0.0,1251
3,1,918.194,1898.903,4.0,797
3,1,938.194,1944.903,2.0,696
4,1,923.902,1983.03,5.0,896
4,1,919.902,1946.03,4.0,851
4,1,894.9019999999998,1940.03,2.0,609
5,1,925.481,1913.119,0.0,2702
5,1,923.481,1976.119,0.0,2180
5,1,904.481,1922.119,1.0,2191
5,1,959.481,1946.119,0.0,1554
5,1,914.481,1960.119,6.0,1318
5,1,966.481,1937.119,6.0,1213
5,1,937.481,1967.119,3.0,1088
5,1,902.481,1946.119,4.0,1099
5,1,938.481,1946.119,0.0,1072
5,1,921.481,1914.119,4.0,1029
5,1,948.481,1945.119,0.0,985
5,1,962.481,1918.119,0.0,1016
5,1,935.481,1943.119,4.0,908
5,1,940.481,1922.119,6.0,890
5,1,925.481,1948.119,0.0,889
5,1,907.481,1967.119,6.0,828
5,1,928.481,1907.119,3.0,817
5,1,963.481,1975.119,3.0,826
5,1,913.481,1935.119,2.0,713
5,1,928.481,1983.119,6.0,807
5,1,906.481,1932.119,6.0,682
5,1,961.481,1973.119,6.0,751
5,1,958.481,1938.119,6.0,711
5,1,929.481,1979.119,6.0,711
5,1,922.481,1939.119,5.0,723
5,1,919.481,1938.119,2.0,693
5,1,928.481,1977.119,4.0,682
6,1,9871.378953203459,10956.641683200682,11176.903205687322,0.005242403930854156
6,1,974.9774067610804,8928.174928822918,11842.456125044688,0.0631987631216964
7,1,910.526,1968.664,6.0,874
7,1,952.526,1952.664,3.0,685
7,1,928.526,1980.664,3.0,663
8,1,952.88,1960.793,0.0,1135
8,1,941.88,1940.793,0.0,677
9,1,923.762,1926.094,0.0,542
9,1,923.762,1983.094,5.0,541
9,1,940.762,1946.094,2.0,546
9,1,952.762,1978.094,0.0,537
10,1,951.769,1952.126,3.0,1315
10,1,955.769,1939.126,0.0,878
11,1,929.677,1981.266,2.0,884
11,1,906.677,1927.266,6.0,759
11,1,897.677,1938.266,3.0,762
11,1,955.677,1971.266,0.0,673
11,1,960.677,1965.266,2.0,611
12,1,923.476,1976.49,0.0,2149
12,1,925.476,1913.49,0.0,2036
12,1,904.476,1922.49,0.0,1720
12,1,911.476,1982.49,6.0,1661
12,1,958.476,1946.49,0.0,1267
12,1,914.476,1897.49,0.0,1303
12,1,928.476,1983.49,5.0,1289
12,1,914.476,1959.49,6.0,1228
12,1,907.476,1966.49,6.0,1002
12,1,966.476,1937.49,6.0,988
12,1,940.476,1922.49,6.0,915
12,1,936.476,1988.49,0.0,890
12,1,948.476,1945.49,0.0,913
12,1,928.476,1907.49,3.0,835
12,1,951.476,1945.49,3.0,845
12,1,960.476,1978.49,3.0,888
12,1,920.476,1914.49,3.0,682
12,1,927.476,1964.49,5.0,772
12,1,954.476,1987.49,6.0,786
12,1,937.476,1967.49,3.0,732
12,1,956.476,1911.49,6.0,692
12,1,929.476,1978.49,6.0,796
12,1,908.476,1962.49,2.0,762
12,1,963.476,1975.49,3.0,761
12,1,923.476,1909.49,5.0,726
12,1,927.476,1977.49,4.0,703
13,1,9504.54389072609,8141.9918363349825,9909.129055218853,0.021382331864989546
13,1,2757.609817562026,11071.195070019507,11763.096115429586,0.06355846803351677
14,1,957.488,1945.313,0.0,1410
14,1,928.488,1968.313,3.0,762
14,1,937.488,1901.313,3.0,605
14,1,914.488,1918.313,6.0,625
15,1,910.789,1929.443,6.0,613
16,1,910.966,1928.472,6.0,1026
16,1,897.966,1938.472,3.0,642
17,1,903.195,1928.824,0.0,1012
17,1,942.195,1941.824,0.0,890
17,1,896.195,1951.824,2.0,857
18,1,957.452,1945.428,0.0,1552
18,1,930.452,1981.428,2.0,966
18,1,928.452,1967.428,4.0,857
18,1,916.452,1939.428,3.0,886
19,1,927.969,1983.558,6.0,1129
19,1,937.969,1945.558,2.0,846
19,1,920.969,1952.558,2.0,743
19,1,921.969,1927.558,2.0,677
19,1,948.969,1945.558,0.0,624
19,1,943.969,1965.558,2.0,663
19,1,936.969,1925.558,5.0,633
20,1,955.237,1923.646,0.0,965
20,1,943.237,1928.646,3.0,605
21,1,956.228,1966.167,6.0,693
22,1,952.412,1952.44,3.0,828
22,1,919.412,1946.44,5.0,691
23,1,924.948,1913.431,0.0,1611
23,1,958.948,1946.431,1.0,1231
23,1,951.948,1944.431,4.0,1090
23,1,910.948,1982.431,6.0,1187
23,1,920.948,1914.431,4.0,994
23,1,923.948,1976.431,0.0,1031
23,1,947.948,1945.431,0.0,972
23,1,913.948,1960.431,6.0,986
23,1,934.948,1942.431,4.0,904
23,1,962.948,1918.431,0.0,860
23,1,921.948,1938.431,5.0,795
23,1,954.948,1987.431,6.0,728
23,1,927.948,1964.431,5.0,680
23,1,909.948,1950.431,5.0,697
24,1,955.112,1946.329,0.0,895
24,1,913.112,1976.329,2.0,767
25,1,952.287,1953.249,3.0,635
26,1,922.742,1977.118,0.0,1970
26,1,958.742,1947.118,0.0,1635
26,1,924.742,1914.118,0.0,1533
26,1,961.742,1918.118,0.0,1343
26,1,927.742,1907.118,3.0,1353
26,1,913.742,1960.118,6.0,1314
26,1,951.742,1945.118,4.0,1163
26,1,936.742,1967.118,4.0,1096
26,1,919.742,1915.118,4.0,1089
26,1,912.742,1935.118,3.0,1095
26,1,935.742,1989.118,0.0,1029
26,1,938.742,1944.118,3.0,1129
26,1,901.742,1946.118,4.0,993
26,1,965.742,1937.118,6.0,1045
26,1,963.742,1976.118,3.0,1030
26,1,930.742,1937.118,6.0,931
26,1,959.742,1978.118,4.0,942
27,1,933.9,1959.927,0.0,844
28,1,11397.875523423352,6290.311484951604,6407.696897526399,0.06990070345834312
28,1,11813.700002580475,9606.455903972606,200.379770785037,0.007182799366951065
29,1,957.382,1944.99,0.0,2051
29,1,919.382,1945.99,5.0,1194
29,1,895.382,1951.99,2.0,1025
29,1,905.382,1939.99,2.0,1024
30,1,928.192,1983.05,6.0,780
30,1,932.192,1899.05,3.0,762
30,1,945.192,1986.05,5.0,680
30,1,916.192,1939.05,3.0,664
31,1,915.23,1957.854,5.0,592
