hyb,ch,x,y,z,int
0,1,1040.0,825.0,3.0,656
0,1,1042.0,835.0,5.0,594
0,1,978.0,873.0,0.0,757
0,1,1033.0,867.0,0.0,729
0,1,1033.0,867.0,5.0,688
0,1,978.0,873.0,6.0,693
0,1,1004.0,844.0,0.0,533
0,1,1003.0,870.0,4.0,571
0,1,1003.0,870.0,0.0,552
0,1,1004.0,844.0,4.0,562
1,1,996.805,832.012,1.0,885
1,1,977.805,874.012,4.0,875
1,1,1012.805,842.012,4.0,670
1,1,1032.805,868.012,3.0,899
1,1,983.805,872.012,6.0,694
1,1,981.805,861.012,3.0,630
1,1,1050.805,848.012,2.0,638
1,1,990.805,883.012,0.0,597
1,1,1049.805,839.012,2.0,621
1,1,1017.805,880.012,4.0,570
1,1,980.805,865.012,6.0,580
1,1,1011.805,884.012,2.0,576
1,1,1002.805,871.012,2.0,553
1,1,1003.805,845.012,0.0,559
1,1,1003.805,845.012,5.0,547
2,1,998.173,827.3389999999998,3.0,942
2,1,980.173,861.3389999999998,6.0,977
2,1,977.173,875.3389999999998,0.0,877
2,1,977.173,864.3389999999998,6.0,915
2,1,985.173,875.3389999999998,4.0,782
2,1,995.173,836.3389999999998,0.0,693
2,1,1039.173,826.3389999999998,0.0,652
2,1,987.173,852.3389999999998,4.0,612
2,1,1005.173,854.3389999999998,3.0,615
2,1,1011.173,859.3389999999998,6.0,613
2,1,989.173,865.3389999999998,5.0,623
2,1,979.173,867.3389999999998,0.0,625
2,1,1033.173,868.3389999999998,0.0,752
2,1,1005.173,873.3389999999998,0.0,560
2,1,978.173,874.3389999999998,6.0,808
2,1,1033.173,868.3389999999998,3.0,693
2,1,1033.173,868.3389999999998,5.0,687
2,1,1010.173,887.3389999999998,1.0,556
2,1,1004.173,845.3389999999998,0.0,574
2,1,1004.173,845.3389999999998,4.0,589
2,1,1003.173,871.3389999999998,6.0,546
3,1,978.196,874.8710000000002,0.0,725
3,1,978.196,874.8710000000002,6.0,680
3,1,1033.196,868.8710000000002,5.0,645
3,1,1033.196,868.8710000000002,2.0,627
3,1,1003.196,871.8710000000002,0.0,539
3,1,1003.196,871.8710000000002,2.0,545
3,1,1003.196,871.8710000000002,6.0,535
3,1,1004.196,845.8710000000002,3.0,536
4,1,1041.918,831.993,3.0,1080
4,1,1021.918,825.993,0.0,630
4,1,1028.918,820.993,3.0,685
4,1,977.918,874.993,2.0,824
4,1,1032.918,868.993,0.0,729
4,1,1036.918,823.993,6.0,607
4,1,1014.918,822.993,3.0,527
4,1,990.918,881.993,0.0,540
4,1,1032.918,868.993,5.0,694
4,1,977.918,874.993,6.0,694
4,1,1002.918,871.993,1.0,590
4,1,1003.918,845.993,6.0,573
4,1,1003.918,845.993,0.0,597
5,1,975.483,870.117,3.0,852
5,1,1030.483,825.117,0.0,676
5,1,1033.483,869.117,3.0,848
5,1,993.483,839.117,6.0,593
5,1,997.483,853.117,6.0,592
5,1,980.483,868.117,4.0,563
5,1,978.483,875.117,4.0,840
5,1,1050.483,846.117,3.0,579
5,1,975.483,865.117,6.0,562
5,1,1006.483,828.117,2.0,534
5,1,978.483,875.117,0.0,743
5,1,1003.483,872.117,0.0,561
5,1,1003.483,872.117,6.0,547
5,1,1004.483,846.117,4.0,609
5,1,1004.483,846.117,6.0,560
5,1,1004.483,846.117,0.0,554
6,1,985.446,872.13,2.0,713
6,1,998.446,847.13,6.0,579
6,1,989.446,883.13,6.0,569
6,1,978.446,875.13,2.0,704
6,1,978.446,875.13,5.0,712
6,1,1033.446,869.13,4.0,717
6,1,1033.446,869.13,2.0,674
6,1,1033.446,869.13,0.0,664
6,1,1004.446,846.13,6.0,598
6,1,1004.446,846.13,2.0,599
6,1,1004.446,846.13,4.0,579
6,1,1003.446,872.13,0.0,558
6,1,1037.446,824.13,5.0,511
6,1,1003.446,872.13,6.0,515
6,1,1003.446,872.13,3.0,536
7,1,996.541,827.6510000000002,4.0,748
7,1,978.541,875.6510000000002,5.0,798
7,1,981.541,882.6510000000002,0.0,595
7,1,1022.541,886.6510000000002,0.0,562
7,1,983.541,876.6510000000002,0.0,559
7,1,994.541,839.6510000000002,3.0,562
7,1,1033.5410000000004,854.6510000000002,2.0,639
7,1,1033.5410000000004,869.6510000000002,5.0,740
7,1,978.541,875.6510000000002,0.0,711
7,1,1033.5410000000004,869.6510000000002,1.0,671
7,1,1004.541,846.6510000000002,1.0,564
7,1,1003.541,872.6510000000002,0.0,559
7,1,1004.541,846.6510000000002,6.0,572
7,1,1004.541,846.6510000000002,4.0,552
8,1,1033.876,869.805,2.0,1141
8,1,975.876,869.805,4.0,837
8,1,1009.876,885.805,3.0,732
8,1,1015.876,821.805,3.0,681
8,1,1017.876,890.805,3.0,627
8,1,994.876,891.805,5.0,684
8,1,1053.876,840.805,4.0,620
8,1,990.876,881.805,0.0,619
8,1,1021.876,882.805,6.0,648
8,1,1050.876,852.805,5.0,590
8,1,978.876,875.805,0.0,769
8,1,985.876,850.805,6.0,553
8,1,1030.876,825.805,0.0,603
8,1,978.876,875.805,5.0,746
8,1,1003.876,872.805,0.0,675
8,1,1025.876,901.805,5.0,590
8,1,974.876,865.805,5.0,632
8,1,1028.876,821.805,0.0,580
8,1,1033.876,869.805,6.0,679
8,1,1004.876,846.805,0.0,565
8,1,1004.876,846.805,6.0,567
9,1,1014.746,841.1060000000001,2.0,569
9,1,983.746,871.1060000000001,6.0,597
9,1,1033.746,870.1060000000001,2.0,713
9,1,991.746,830.1060000000001,1.0,583
9,1,978.746,867.1060000000001,0.0,541
9,1,1033.746,870.1060000000001,6.0,690
9,1,1033.746,870.1060000000001,0.0,639
9,1,1003.746,873.1060000000001,5.0,602
9,1,1004.746,847.1060000000001,5.0,553
9,1,1004.746,847.1060000000001,1.0,569
9,1,1003.746,873.1060000000001,1.0,540
10,1,985.769,872.1310000000002,2.0,855
10,1,1033.769,870.1310000000002,4.0,828
10,1,1033.769,870.1310000000002,1.0,785
10,1,990.769,839.1310000000002,5.0,518
10,1,1003.769,873.1310000000002,6.0,531
10,1,1004.769,847.1310000000002,6.0,558
10,1,1003.769,873.1310000000002,0.0,529
10,1,1004.769,847.1310000000002,1.0,548
11,1,985.666,875.273,4.0,960
11,1,976.666,864.273,6.0,800
11,1,994.666,836.273,0.0,722
11,1,1047.6660000000004,832.273,3.0,587
11,1,989.666,883.273,6.0,609
11,1,1034.6660000000004,865.273,0.0,603
11,1,997.666,847.273,6.0,557
11,1,1014.666,822.273,6.0,570
11,1,1033.6660000000004,826.273,2.0,543
11,1,1033.6660000000004,870.273,0.0,704
11,1,1033.6660000000004,870.273,3.0,686
11,1,1024.6660000000004,876.273,0.0,555
11,1,1004.666,847.273,6.0,547
11,1,1003.666,873.273,0.0,546
12,1,981.475,859.4910000000001,1.0,578
12,1,977.475,865.4910000000001,5.0,580
12,1,1033.475,870.4910000000001,0.0,743
12,1,1004.475,847.4910000000001,0.0,593
12,1,1037.475,825.4910000000001,0.0,529
12,1,1004.475,847.4910000000001,5.0,608
12,1,1003.475,873.4910000000001,5.0,548
12,1,1003.475,873.4910000000001,1.0,545
13,1,982.38,860.628,3.0,628
13,1,991.38,882.628,0.0,606
13,1,1038.38,825.628,3.0,669
13,1,979.38,876.628,2.0,783
13,1,1027.38,821.628,2.0,596
13,1,995.38,831.628,3.0,524
13,1,1034.38,870.628,6.0,683
13,1,1034.38,870.628,0.0,687
13,1,979.38,876.628,6.0,723
13,1,984.38,867.628,4.0,536
13,1,1005.38,847.628,6.0,577
13,1,1004.38,873.628,4.0,571
13,1,1005.38,847.628,0.0,566
13,1,1005.38,847.628,2.0,546
13,1,1004.38,873.628,0.0,533
14,1,1009.493,886.315,3.0,641
14,1,994.493,852.315,0.0,552
14,1,1051.493,841.315,3.0,642
14,1,979.493,876.315,1.0,746
14,1,979.493,876.315,5.0,706
14,1,1034.493,870.315,6.0,691
14,1,977.493,856.315,3.0,528
14,1,979.493,862.315,6.0,554
14,1,1026.493,822.315,0.0,579
14,1,1034.493,870.315,0.0,647
14,1,1034.493,870.315,2.0,658
14,1,1004.493,873.315,2.0,552
14,1,1005.493,847.315,1.0,594
14,1,1004.493,873.315,6.0,522
14,1,1005.493,847.315,4.0,567
14,1,1013.493,886.315,5.0,528
15,1,979.793,876.456,0.0,788
15,1,979.793,876.456,6.0,721
15,1,1034.793,870.456,0.0,645
15,1,1034.793,870.456,4.0,693
15,1,1005.793,847.456,0.0,565
15,1,1005.793,847.456,3.0,560
15,1,1005.793,847.456,6.0,536
15,1,1004.793,873.456,3.0,540
16,1,979.956,876.4789999999998,0.0,761
16,1,979.956,876.4789999999998,6.0,684
16,1,1034.956,870.4789999999998,2.0,644
16,1,1005.956,847.4789999999998,0.0,593
16,1,1004.956,873.4789999999998,4.0,595
16,1,1005.956,847.4789999999998,4.0,552
17,1,1035.172,870.821,0.0,821
17,1,1037.172,824.821,6.0,620
17,1,981.172,846.821,5.0,642
17,1,1035.172,870.821,5.0,692
17,1,980.172,876.821,0.0,720
17,1,980.172,876.821,6.0,708
17,1,1005.172,873.821,1.0,557
17,1,1006.172,847.821,5.0,563
17,1,1006.172,847.821,1.0,520
17,1,974.172,851.821,0.0,515
18,1,977.459,875.431,4.0,565
18,1,1022.459,887.431,5.0,522
18,1,1035.4589999999996,870.431,3.0,683
18,1,980.459,876.431,0.0,705
18,1,998.459,831.431,0.0,521
18,1,980.459,876.431,5.0,673
