gene,Hyb1,Hyb2,Hyb3,Hyb4
Cebpa,12,5,7,8
Fam84b,4,16,8,12
N4bp3,1,12,5,2
Abca17,1,1,4,6
Hexdc,9,5,7,5
Bmp4,13,12,12,5
Fgf1,4,14,1,3
Islr2,8,3,9,4
Osr2,13,4,14,15
Tacr3,16,1,8,9
Slc17a7,7,16,15,6
Syt17,13,3,14,14
Cnpy1,12,11,5,12
Dhtkd1,2,6,6,14
Abca13,14,4,15,1
Carm1,1,12,12,9
Prrt2,14,16,9,7
Adamts1,15,13,2,14
Peg3,3,7,7,1
Slc30a10,2,3,5,10
Eepd1,6,15,16,5
Prtg,6,1,7,14
Ism1,15,13,13,9
Gda,12,14,12,6
Gdpd4,16,2,2,4
Snai2,4,6,9,3
D930048N14Rik,8,1,2,11
Alppl2,8,15,6,13
Gata2,13,10,10,1
Snai1,15,2,6,7
Suv39h2,6,6,3,15
Gpr161,14,2,7,7
Ciita,3,15,3,5
Trabd2b,1,16,14,15
Kctd15,3,9,13,9
Msx1,8,4,5,1
Synpo2,9,13,11,1
Ehmt1,1,7,11,3
Cdkl5,13,4,11,12
Wdr27,4,11,5,4
Slc30a2,12,11,2,9
Taf4b,6,14,13,1
Duoxa2,16,2,14,16
Vcam1,1,6,6,13
Agap2,15,15,3,1
Irf4,8,4,12,8
Bcl7a,8,10,4,6
Snai3,10,11,5,10
7420426K07Rik,10,11,8,13
Trim2,12,5,16,1
Elavl3,9,10,6,9
Mpzl2,5,7,6,2
Cnr1,16,6,2,8
Kitl,10,3,2,15
Gria1,3,10,6,3
Jun,13,9,15,5
Popdc3,13,3,12,12
Fam84a,8,6,15,13
Auts2,14,4,9,11
Dlx2,5,14,9,12
Pxdc1,16,14,7,5
Spz1,9,8,5,6
Klf14,5,4,2,11
Dpysl3,13,7,10,14
Sox17,6,5,10,5
Atg9b,9,16,2,11
Pax9,12,16,8,4
Oog4,9,15,1,9
Unc5c,11,5,11,11
Irs1,2,6,8,16
Kcne1,16,5,16,5
Pdcd1,14,2,16,16
Zfp9,16,1,12,13
Lrrn1,13,5,16,2
Gpc5,13,12,15,8
4921507P07Rik,3,15,8,10
Tmem215,1,3,5,9
Sel1l2,8,10,5,7
Sfrp2,4,2,6,12
Paip2b,6,13,15,2
Prss35,8,11,6,9
Adad1,6,12,4,6
Ppef1,3,6,9,2
Dpys,11,10,8,13
Drd3,14,6,15,3
Ubtfl1,2,6,5,13
Gm9573,3,5,3,11
Fam163a,5,14,10,13
S100b,8,12,12,16
Mfsd2a,6,4,4,14
Thpo,3,14,4,5
Prc1,11,13,6,14
Bmper,2,9,9,4
Plau,3,13,3,3
Pramel1,15,7,11,1
Lbh,10,11,14,3
Plcb1,1,7,9,1
Rasgef1c,10,16,13,7
9530059O14Rik,11,1,13,9
Gpr50,16,3,8,11
Suv39h1,6,3,7,16
Ptpro,6,2,7,15
Eya1,9,7,2,2
Tcf3,15,16,7,6
Gjb2,2,2,3,7
Dhrs3,9,12,2,7
Tram1l1,1,2,5,8
Map3k8,11,8,13,16
Thnsl2,7,8,7,6
Zswim2,5,9,15,13
Inhbb,15,14,16,13
Pde4d,14,10,14,6
Zswim5,13,13,9,3
Wnt5a,1,5,8,14
Slc39a14,13,7,12,16
Gm364,16,10,7,1
Slfn2,14,8,13,3
Atoh1,8,14,16,6
Ptch1,3,5,2,10
Prkcq,10,16,11,5
Trpd52l3,3,8,2,13
Nol4,12,7,7,10
Rgs2,12,6,5,7
Piwil4,13,8,3,8
Amot,7,9,10,10
Notum,6,1,14,5
Pou6f2,12,13,1,10
Tet3,8,3,10,5
Dlgap2,2,6,12,4
Mecom,10,13,5,12
Fut9,14,8,2,8
Ccno,12,4,4,4
Glra2,1,7,14,6
Chd5,1,11,8,4
Fat3,3,13,13,13
Parva,8,11,7,10
Naalad2,16,3,13,16
Rad51ap2,2,8,10,4
Slc6a6,3,1,11,15
Lefty2,7,1,12,4
Magel2,1,8,5,14
Axin2,7,12,1,4
Lepr,16,11,11,6
Eva1a,9,14,9,16
Nap1l2,16,10,9,3
Lrrn4,6,3,15,8
Muc13,11,13,13,5
Ngef,1,6,2,9
Kcnd2,14,6,5,9
Phldb2,10,4,6,4
Gsn,9,3,15,11
Unc5d,14,16,4,2
Kctd8,7,12,12,15
Irf8,16,14,5,3
Lifr,14,13,12,7
Hoxd13,4,7,8,3
Cx3cr1,13,16,10,7
AU015228,6,13,5,8
Dnah7a,11,12,4,11
Mbd5,8,2,9,3
Tead1,2,11,5,2
Calb1,7,13,2,6
Nap1l3,7,14,1,6
BC065397,7,9,14,14
Pdk1,12,1,15,12
Rgs4,16,6,11,1
Abcb5,11,13,15,7
Smad7,6,14,14,2
Tspan1,1,16,7,8
Zfhx3,12,14,15,9
Zfp827,16,3,10,13
Chaf1b,16,5,15,4
Foxa1,5,11,3,3
Lin7a,1,12,11,8
S1pr2,14,6,3,7
Zfp281,8,10,10,12
Hspa2,10,2,11,7
Myc,2,14,9,9
Gpr182,6,7,1,14
2310015A10Rik,8,15,11,2
Hipk4,2,7,12,5
Ccnb3,10,6,8,8
Pou2f3,9,9,8,10
Abcg3,15,13,3,15
Agtrap,7,14,16,5
Tbp,8,2,8,2
Pdha2,6,16,7,13
Pou3f1,4,8,2,14
Piwil1,15,2,4,5
Arhgap31,16,4,8,12
Csrnp3,3,2,4,9
F3,5,12,10,11
Slc4a4,6,16,13,3
Gm1141,1,8,7,16
Enpp3,9,9,1,3
Marveld1,14,14,15,11
Wls,5,1,6,12
Mrgprx2,10,5,3,2
Krt8,8,15,1,8
Foxh1,9,9,2,4
Zcchc17,13,15,16,12
Cldn6,12,6,2,4
Arg2,5,4,7,16
Zcchc12,4,14,5,7
Pmp22,1,14,2,1
Ccnd2,6,8,2,16
Rpia,4,14,7,9
AI427809,11,7,7,9
Zap70,14,4,8,10
Ppp1r2-ps7,9,14,10,1
Krt18,15,4,11,14
Jdp2,2,5,10,1
Spdye4b,15,13,10,6
Dux,6,10,2,2
Zfp607a,11,4,15,14
Rgn,1,6,1,8
Fcgr2b,10,1,5,16
Anxa3,6,7,4,1
Rhox13,7,16,4,11
Mrgprb1,3,6,7,16
Asb12,5,5,9,3
Clec10a,5,8,7,4
Taf7l,9,7,5,5
Zfp599,1,4,11,16
Tmem37,3,11,7,5
Anxa1,7,7,3,1
Hhex,9,16,11,4
Gadd45g,14,1,15,14
Gm11545,8,13,15,4
Acta2,10,10,16,4
Dppa4,9,1,13,7
Dnah7b,4,8,1,13
Bambi-ps1,2,11,2,15
Rwdd3,11,7,15,1
Gap43,9,1,7,1
Fam173b,7,2,11,4
Vstm2b,1,8,3,12
Obox6,4,4,3,11
Hes1,10,13,12,3
Kdm4dl,3,13,9,9
Id2,13,6,10,13
Krt19,5,8,8,5
Id3,11,12,7,14
Susd3,10,2,6,2
Gins2,1,4,5,10
Hmgn5,8,13,5,10
Id1,12,14,14,8
Cryab,1,1,9,11
fake1,1,1,1,3
fake2,1,1,2,4
fake3,1,1,3,5
fake4,1,1,5,7
fake5,1,1,6,8
fake6,1,1,7,9
fake7,1,1,8,10
fake8,1,1,10,12
fake9,1,1,11,13
fake10,1,1,12,14
fake11,1,1,13,15
fake12,1,1,14,16
fake13,1,1,15,1
fake14,1,1,16,2
fake15,1,2,1,4
fake16,1,2,2,5
fake17,1,2,3,6
