gene,Hyb1,Hyb2,Hyb3,Hyb4
fake636,3,13,12,12
fake637,3,13,14,14
fake638,3,13,15,15
fake639,3,13,16,16
fake640,3,14,1,2
fake641,3,14,2,3
fake642,3,14,3,4
fake643,3,14,5,6
fake644,3,14,6,7
fake645,3,14,7,8
fake646,3,14,8,9
fake647,3,14,9,10
fake648,3,14,11,12
fake649,3,14,12,13
fake650,3,14,13,14
fake651,3,14,14,15
fake652,3,14,15,16
fake653,3,14,16,1
fake654,3,15,1,3
fake655,3,15,2,4
fake656,3,15,4,6
fake657,3,15,5,7
fake658,3,15,6,8
fake659,3,15,7,9
fake660,3,15,9,11
fake661,3,15,10,12
fake662,3,15,11,13
fake663,3,15,12,14
fake664,3,15,13,15
fake665,3,15,14,16
fake666,3,15,15,1
fake667,3,15,16,2
fake668,3,16,1,4
fake669,3,16,2,5
fake670,3,16,3,6
fake671,3,16,5,8
fake672,3,16,7,10
fake673,3,16,8,11
fake674,3,16,9,12
fake675,3,16,10,13
fake676,3,16,11,14
fake677,3,16,12,15
fake678,3,16,13,16
fake679,3,16,14,1
fake680,3,16,15,2
fake681,3,16,16,3
fake682,4,1,1,6
fake683,4,1,3,8
fake684,4,1,4,9
fake685,4,1,5,10
fake686,4,1,6,11
fake687,4,1,7,12
fake688,4,1,8,13
fake689,4,1,9,14
fake690,4,1,10,15
fake691,4,1,11,16
fake692,4,1,12,1
fake693,4,1,13,2
fake694,4,1,14,3
fake695,4,1,15,4
fake696,4,1,16,5
fake697,4,2,1,7
fake698,4,2,2,8
fake699,4,2,3,9
fake700,4,2,4,10
fake701,4,2,5,11
fake702,4,2,7,13
fake703,4,2,9,15
fake704,4,2,10,16
fake705,4,2,11,1
fake706,4,2,12,2
fake707,4,2,13,3
fake708,4,2,14,4
fake709,4,2,15,5
fake710,4,2,16,6
fake711,4,3,1,8
fake712,4,3,2,9
fake713,4,3,3,10
fake714,4,3,4,11
fake715,4,3,5,12
fake716,4,3,6,13
fake717,4,3,7,14
fake718,4,3,8,15
fake719,4,3,9,16
fake720,4,3,10,1
fake721,4,3,12,3
fake722,4,3,13,4
fake723,4,3,16,7
fake724,4,4,1,9
fake725,4,4,2,10
fake726,4,4,4,12
fake727,4,4,5,13
fake728,4,4,6,14
fake729,4,4,7,15
fake730,4,4,8,16
fake731,4,4,9,1
fake732,4,4,10,2
fake733,4,4,11,3
fake734,4,4,12,4
fake735,4,4,13,5
fake736,4,4,15,7
fake737,4,4,16,8
fake738,4,5,1,10
fake739,4,5,2,11
fake740,4,5,3,12
fake741,4,5,4,13
fake742,4,5,5,14
fake743,4,5,6,15
fake744,4,5,7,16
fake745,4,5,8,1
fake746,4,5,9,2
fake747,4,5,10,3
fake748,4,5,12,5
fake749,4,5,13,6
fake750,4,5,14,7
fake751,4,5,15,8
fake752,4,5,16,9
fake753,4,6,2,12
fake754,4,6,3,13
fake755,4,6,4,14
fake756,4,6,5,15
fake757,4,6,6,16
fake758,4,6,7,1
fake759,4,6,8,2
fake760,4,6,10,4
fake761,4,6,11,5
fake762,4,6,12,6
fake763,4,6,13,7
fake764,4,6,14,8
fake765,4,6,15,9
fake766,4,6,16,10
fake767,4,7,2,13
fake768,4,7,3,14
fake769,4,7,4,15
fake770,4,7,5,16
fake771,4,7,6,1
fake772,4,7,7,2
fake773,4,7,9,4
fake774,4,7,11,6
fake775,4,7,12,7
fake776,4,7,13,8
fake777,4,7,14,9
fake778,4,7,15,10
fake779,4,7,16,11
fake780,4,8,3,15
fake781,4,8,4,16
fake782,4,8,5,1
fake783,4,8,6,2
fake784,4,8,7,3
fake785,4,8,8,4
fake786,4,8,9,5
fake787,4,8,10,6
fake788,4,8,11,7
fake789,4,8,13,9
fake790,4,8,14,10
fake791,4,8,15,11
fake792,4,8,16,12
fake793,4,9,1,14
fake794,4,9,2,15
fake795,4,9,3,16
fake796,4,9,4,1
fake797,4,9,5,2
fake798,4,9,6,3
fake799,4,9,7,4
fake800,4,9,8,5
fake801,4,9,9,6
fake802,4,9,10,7
fake803,4,9,11,8
fake804,4,9,12,9
fake805,4,9,14,11
fake806,4,9,15,12
fake807,4,10,1,15
fake808,4,10,2,16
fake809,4,10,3,1
fake810,4,10,4,2
fake811,4,10,5,3
fake812,4,10,6,4
fake813,4,10,7,5
fake814,4,10,8,6
fake815,4,10,9,7
fake816,4,10,11,9
fake817,4,10,12,10
fake818,4,10,14,12
fake819,4,10,15,13
fake820,4,11,1,16
fake821,4,11,2,1
fake822,4,11,3,2
fake823,4,11,4,3
fake824,4,11,6,5
fake825,4,11,7,6
fake826,4,11,8,7
fake827,4,11,9,8
fake828,4,11,10,9
fake829,4,11,11,10
fake830,4,11,12,11
fake831,4,11,13,12
fake832,4,11,14,13
fake833,4,11,15,14
fake834,4,11,16,15
fake835,4,12,1,1
fake836,4,12,2,2
fake837,4,12,3,3
fake838,4,12,4,4
fake839,4,12,5,5
fake840,4,12,6,6
fake841,4,12,7,7
fake842,4,12,8,8
fake843,4,12,9,9
fake844,4,12,10,10
fake845,4,12,11,11
fake846,4,12,12,12
fake847,4,12,13,13
fake848,4,12,15,15
fake849,4,12,16,16
fake850,4,13,1,2
fake851,4,13,2,3
fake852,4,13,3,4
fake853,4,13,5,6
fake854,4,13,6,7
fake855,4,13,7,8
fake856,4,13,8,9
fake857,4,13,9,10
fake858,4,13,10,11
fake859,4,13,11,12
fake860,4,13,12,13
fake861,4,13,13,14
fake862,4,13,14,15
fake863,4,13,16,1
fake864,4,14,2,4
fake865,4,14,3,5
fake866,4,14,4,6
fake867,4,14,6,8
fake868,4,14,8,10
fake869,4,14,9,11
fake870,4,14,10,12
fake871,4,14,11,13
fake872,4,14,12,14
fake873,4,14,13,15
fake874,4,14,14,16
fake875,4,14,15,1
fake876,4,14,16,2
fake877,4,15,1,4
fake878,4,15,2,5
fake879,4,15,3,6
fake880,4,15,4,7
fake881,4,15,5,8
fake882,4,15,6,9
fake883,4,15,7,10
fake884,4,15,8,11
fake885,4,15,9,12
fake886,4,15,10,13
fake887,4,15,11,14
fake888,4,15,12,15
fake889,4,15,13,16
fake890,4,15,14,1
fake891,4,15,15,2
fake892,4,15,16,3
fake893,4,16,1,5
fake894,4,16,2,6
fake895,4,16,3,7
fake896,4,16,4,8
fake897,4,16,5,9
fake898,4,16,6,10
fake899,4,16,7,11
fake900,4,16,9,13
fake901,4,16,10,14
fake902,4,16,11,15
fake903,4,16,12,16
fake904,4,16,13,1
fake905,4,16,14,2
fake906,4,16,15,3
fake907,4,16,16,4
fake908,5,1,1,7
fake909,5,1,2,8
fake910,5,1,3,9
fake911,5,1,4,10
fake912,5,1,5,11
fake913,5,1,7,13
fake914,5,1,8,14
fake915,5,1,9,15
fake916,5,1,10,16
fake917,5,1,12,2
fake918,5,1,13,3
fake919,5,1,14,4
fake920,5,1,15,5
fake921,5,1,16,6
fake922,5,2,1,8
fake923,5,2,2,9
fake924,5,2,3,10
fake925,5,2,4,11
fake926,5,2,5,12
fake927,5,2,6,13
fake928,5,2,7,14
fake929,5,2,8,15
fake930,5,2,9,16
fake931,5,2,10,1
fake932,5,2,11,2
fake933,5,2,12,3
fake934,5,2,13,4
fake935,5,2,14,5
fake936,5,2,15,6
fake937,5,2,16,7
fake938,5,3,1,9
fake939,5,3,2,10
fake940,5,3,3,11
fake941,5,3,4,12
fake942,5,3,5,13
fake943,5,3,6,14
fake944,5,3,7,15
fake945,5,3,8,16
fake946,5,3,9,1
fake947,5,3,10,2
fake948,5,3,11,3
fake949,5,3,12,4
fake950,5,3,13,5
fake951,5,3,14,6
fake952,5,3,15,7
fake953,5,3,16,8
fake954,5,4,3,12
fake955,5,4,4,13
fake956,5,4,5,14
fake957,5,4,8,1
fake958,5,4,9,2
fake959,5,4,10,3
fake960,5,4,11,4
fake961,5,4,12,5
fake962,5,4,13,6
fake963,5,4,14,7
fake964,5,4,15,8
fake965,5,4,16,9
fake966,5,5,1,11
fake967,5,5,2,12
fake968,5,5,3,13
fake969,5,5,4,14
fake970,5,5,5,15
fake971,5,5,6,16
fake972,5,5,7,1
fake973,5,5,8,2
fake974,5,5,10,4
fake975,5,5,11,5
fake976,5,5,12,6
fake977,5,5,13,7
fake978,5,5,14,8
fake979,5,5,15,9
fake980,5,5,16,10
fake981,5,6,1,12
fake982,5,6,2,13
fake983,5,6,3,14
fake984,5,6,4,15
fake985,5,6,5,16
fake986,5,6,6,1
fake987,5,6,8,3
fake988,5,6,9,4
fake989,5,6,10,5
fake990,5,6,11,6
fake991,5,6,12,7
fake992,5,6,13,8
fake993,5,6,14,9
fake994,5,6,15,10
fake995,5,6,16,11
fake996,5,7,1,13
fake997,5,7,2,14
fake998,5,7,3,15
fake999,5,7,4,16
fake1000,5,7,5,1
fake1001,5,7,7,3
fake1002,5,7,8,4
fake1003,5,7,9,5
fake1004,5,7,10,6
fake1005,5,7,11,7
fake1006,5,7,12,8
fake1007,5,7,13,9
fake1008,5,7,14,10
fake1009,5,7,15,11
fake1010,5,7,16,12
fake1011,5,8,1,14
fake1012,5,8,2,15
fake1013,5,8,3,16
fake1014,5,8,4,1
fake1015,5,8,5,2
fake1016,5,8,6,3
fake1017,5,8,10,7
fake1018,5,8,11,8
fake1019,5,8,12,9
fake1020,5,8,13,10
fake1021,5,8,14,11
fake1022,5,8,15,12
fake1023,5,8,16,13
fake1024,5,9,1,15
fake1025,5,9,2,16
fake1026,5,9,3,1
fake1027,5,9,4,2
fake1028,5,9,5,3
fake1029,5,9,6,4
fake1030,5,9,7,5
fake1031,5,9,8,6
fake1032,5,9,9,7
fake1033,5,9,10,8
fake1034,5,9,11,9
fake1035,5,9,12,10
fake1036,5,9,13,11
fake1037,5,9,14,12
fake1038,5,9,16,14
fake1039,5,10,1,16
fake1040,5,10,2,1
fake1041,5,10,3,2
fake1042,5,10,4,3
fake1043,5,10,5,4
fake1044,5,10,6,5
fake1045,5,10,7,6
fake1046,5,10,8,7
fake1047,5,10,9,8
fake1048,5,10,10,9
fake1049,5,10,11,10
fake1050,5,10,12,11
fake1051,5,10,13,12
fake1052,5,10,14,13
fake1053,5,10,15,14
fake1054,5,10,16,15
fake1055,5,11,1,1
fake1056,5,11,2,2
fake1057,5,11,4,4
fake1058,5,11,5,5
fake1059,5,11,6,6
fake1060,5,11,7,7
fake1061,5,11,8,8
fake1062,5,11,9,9
fake1063,5,11,10,10
fake1064,5,11,11,11
fake1065,5,11,12,12
fake1066,5,11,13,13
fake1067,5,11,14,14
fake1068,5,11,15,15
fake1069,5,11,16,16
fake1070,5,12,1,2
fake1071,5,12,2,3
fake1072,5,12,3,4
fake1073,5,12,4,5
fake1074,5,12,6,7
fake1075,5,12,7,8
fake1076,5,12,8,9
fake1077,5,12,9,10
fake1078,5,12,11,12
fake1079,5,12,12,13
fake1080,5,12,13,14
fake1081,5,12,14,15
fake1082,5,12,15,16
fake1083,5,12,16,1
fake1084,5,13,1,3
fake1085,5,13,2,4
fake1086,5,13,3,5
fake1087,5,13,4,6
fake1088,5,13,5,7
fake1089,5,13,6,8
fake1090,5,13,7,9
fake1091,5,13,8,10
fake1092,5,13,10,12
fake1093,5,13,11,13
fake1094,5,13,12,14
fake1095,5,13,13,15
fake1096,5,13,14,16
fake1097,5,13,15,1
fake1098,5,13,16,2
fake1099,5,14,1,4
fake1100,5,14,2,5
fake1101,5,14,3,6
fake1102,5,14,4,7
fake1103,5,14,5,8
fake1104,5,14,6,9
fake1105,5,14,7,10
fake1106,5,14,8,11
fake1107,5,14,11,14
fake1108,5,14,12,15
fake1109,5,14,13,16
fake1110,5,14,14,1
fake1111,5,14,15,2
fake1112,5,14,16,3
fake1113,5,15,1,5
fake1114,5,15,2,6
fake1115,5,15,3,7
fake1116,5,15,4,8
fake1117,5,15,5,9
fake1118,5,15,6,10
fake1119,5,15,7,11
fake1120,5,15,8,12
fake1121,5,15,9,13
fake1122,5,15,10,14
fake1123,5,15,11,15
fake1124,5,15,12,16
fake1125,5,15,13,1
fake1126,5,15,14,2
fake1127,5,15,16,4
fake1128,5,16,1,6
fake1129,5,16,2,7
fake1130,5,16,3,8
fake1131,5,16,4,9
fake1132,5,16,5,10
fake1133,5,16,6,11
fake1134,5,16,7,12
fake1135,5,16,8,13
fake1136,5,16,9,14
fake1137,5,16,10,15
fake1138,5,16,11,16
fake1139,5,16,13,2
fake1140,5,16,14,3
fake1141,5,16,15,4
fake1142,5,16,16,5
fake1143,6,1,1,8
fake1144,6,1,2,9
fake1145,6,1,3,10
fake1146,6,1,4,11
fake1147,6,1,5,12
fake1148,6,1,6,13
fake1149,6,1,8,15
fake1150,6,1,9,16
fake1151,6,1,10,1
fake1152,6,1,11,2
fake1153,6,1,12,3
fake1154,6,1,13,4
fake1155,6,1,15,6
fake1156,6,1,16,7
fake1157,6,2,1,9
fake1158,6,2,2,10
fake1159,6,2,3,11
fake1160,6,2,4,12
fake1161,6,2,5,13
fake1162,6,2,6,14
fake1163,6,2,9,1
fake1164,6,2,10,2
fake1165,6,2,11,3
fake1166,6,2,12,4
fake1167,6,2,13,5
fake1168,6,2,14,6
fake1169,6,2,15,7
fake1170,6,2,16,8
fake1171,6,3,1,10
fake1172,6,3,2,11
fake1173,6,3,3,12
fake1174,6,3,4,13
fake1175,6,3,5,14
fake1176,6,3,6,15
fake1177,6,3,8,1
fake1178,6,3,9,2
fake1179,6,3,10,3
fake1180,6,3,11,4
fake1181,6,3,12,5
fake1182,6,3,13,6
fake1183,6,3,14,7
fake1184,6,3,16,9
fake1185,6,4,1,11
fake1186,6,4,2,12
fake1187,6,4,3,13
fake1188,6,4,5,15
fake1189,6,4,6,16
fake1190,6,4,7,1
fake1191,6,4,8,2
fake1192,6,4,9,3
fake1193,6,4,10,4
fake1194,6,4,11,5
fake1195,6,4,12,6
fake1196,6,4,13,7
fake1197,6,4,14,8
fake1198,6,4,15,9
fake1199,6,4,16,10
fake1200,6,5,1,12
fake1201,6,5,2,13
fake1202,6,5,3,14
fake1203,6,5,5,16
fake1204,6,5,6,1
fake1205,6,5,7,2
fake1206,6,5,8,3
fake1207,6,5,9,4
fake1208,6,5,11,6
fake1209,6,5,12,7
fake1210,6,5,13,8
fake1211,6,5,14,9
fake1212,6,5,15,10
fake1213,6,5,16,11
fake1214,6,6,1,13
fake1215,6,6,2,14
fake1216,6,6,4,16
fake1217,6,6,5,1
fake1218,6,6,6,2
fake1219,6,6,7,3
fake1220,6,6,8,4
fake1221,6,6,9,5
fake1222,6,6,11,7
fake1223,6,6,12,8
fake1224,6,6,13,9
fake1225,6,6,14,10
fake1226,6,6,15,11
fake1227,6,6,16,12
fake1228,6,7,2,15
fake1229,6,7,3,16
fake1230,6,7,5,2
fake1231,6,7,6,3
fake1232,6,7,7,4
fake1233,6,7,8,5
fake1234,6,7,9,6
fake1235,6,7,10,7
fake1236,6,7,11,8
fake1237,6,7,12,9
fake1238,6,7,13,10
fake1239,6,7,15,12
fake1240,6,7,16,13
fake1241,6,8,1,15
fake1242,6,8,3,1
fake1243,6,8,4,2
fake1244,6,8,5,3
fake1245,6,8,6,4
fake1246,6,8,7,5
fake1247,6,8,8,6
fake1248,6,8,9,7
fake1249,6,8,10,8
fake1250,6,8,11,9
fake1251,6,8,12,10
fake1252,6,8,13,11
fake1253,6,8,14,12
fake1254,6,8,15,13
fake1255,6,9,1,16
fake1256,6,9,2,1
fake1257,6,9,3,2
fake1258,6,9,4,3
fake1259,6,9,5,4
fake1260,6,9,6,5
fake1261,6,9,7,6
fake1262,6,9,8,7
fake1263,6,9,10,9
fake1264,6,9,11,10
fake1265,6,9,12,11
fake1266,6,9,13,12
fake1267,6,9,14,13
fake1268,6,9,15,14
fake1269,6,9,16,15
fake1270,6,10,1,1
fake1271,6,10,3,3
fake1272,6,10,4,4
fake1273,6,10,5,5
fake1274,6,10,6,6
fake1275,6,10,7,7
fake1276,6,10,8,8
fake1277,6,10,10,10
fake1278,6,10,11,11
fake1279,6,10,12,12
fake1280,6,10,13,13
fake1281,6,10,14,14
fake1282,6,10,15,15
fake1283,6,10,16,16
fake1284,6,11,1,2
fake1285,6,11,2,3
fake1286,6,11,3,4
fake1287,6,11,4,5
fake1288,6,11,5,6
fake1289,6,11,6,7
fake1290,6,11,7,8
fake1291,6,11,8,9
fake1292,6,11,9,10
fake1293,6,11,10,11
fake1294,6,11,11,12
fake1295,6,11,13,14
fake1296,6,11,14,15
fake1297,6,11,15,16
fake1298,6,11,16,1
fake1299,6,12,1,3
fake1300,6,12,2,4
fake1301,6,12,3,5
fake1302,6,12,5,7
fake1303,6,12,6,8
fake1304,6,12,7,9
fake1305,6,12,8,10
fake1306,6,12,9,11
fake1307,6,12,10,12
fake1308,6,12,11,13
fake1309,6,12,12,14
fake1310,6,12,13,15
fake1311,6,12,14,16
fake1312,6,12,15,1
fake1313,6,12,16,2
fake1314,6,13,1,4
fake1315,6,13,2,5
fake1316,6,13,3,6
fake1317,6,13,4,7
fake1318,6,13,6,9
fake1319,6,13,7,10
fake1320,6,13,8,11
fake1321,6,13,9,12
fake1322,6,13,10,13
fake1323,6,13,11,14
fake1324,6,13,12,15
fake1325,6,13,13,16
fake1326,6,13,14,1
fake1327,6,13,16,3
fake1328,6,14,1,5
fake1329,6,14,2,6
fake1330,6,14,3,7
fake1331,6,14,4,8
fake1332,6,14,5,9
fake1333,6,14,6,10
fake1334,6,14,7,11
fake1335,6,14,8,12
fake1336,6,14,9,13
fake1337,6,14,10,14
fake1338,6,14,11,15
fake1339,6,14,12,16
fake1340,6,14,15,3
fake1341,6,14,16,4
fake1342,6,15,1,6
fake1343,6,15,2,7
fake1344,6,15,3,8
fake1345,6,15,4,9
fake1346,6,15,5,10
fake1347,6,15,6,11
fake1348,6,15,7,12
fake1349,6,15,8,13
fake1350,6,15,9,14
fake1351,6,15,10,15
fake1352,6,15,11,16
fake1353,6,15,12,1
fake1354,6,15,13,2
fake1355,6,15,14,3
fake1356,6,15,15,4
fake1357,6,16,1,7
fake1358,6,16,2,8
fake1359,6,16,3,9
fake1360,6,16,4,10
fake1361,6,16,5,11
fake1362,6,16,6,12
fake1363,6,16,8,14
fake1364,6,16,10,16
fake1365,6,16,11,1
fake1366,6,16,12,2
fake1367,6,16,14,4
fake1368,6,16,15,5
fake1369,6,16,16,6
fake1370,7,1,1,9
fake1371,7,1,2,10
fake1372,7,1,3,11
fake1373,7,1,4,12
fake1374,7,1,5,13
fake1375,7,1,6,14
fake1376,7,1,7,15
fake1377,7,1,8,16
fake1378,7,1,9,1
fake1379,7,1,10,2
fake1380,7,1,11,3
fake1381,7,1,13,5
fake1382,7,1,14,6
fake1383,7,1,15,7
fake1384,7,1,16,8
fake1385,7,2,1,10
fake1386,7,2,2,11
fake1387,7,2,3,12
fake1388,7,2,4,13
fake1389,7,2,5,14
fake1390,7,2,6,15
fake1391,7,2,7,16
fake1392,7,2,8,1
fake1393,7,2,9,2
fake1394,7,2,10,3
fake1395,7,2,12,5
fake1396,7,2,13,6
fake1397,7,2,14,7
fake1398,7,2,15,8
fake1399,7,2,16,9
fake1400,7,3,1,11
fake1401,7,3,2,12
fake1402,7,3,4,14
fake1403,7,3,5,15
fake1404,7,3,6,16
fake1405,7,3,8,2
fake1406,7,3,9,3
fake1407,7,3,10,4
fake1408,7,3,11,5
fake1409,7,3,12,6
fake1410,7,3,13,7
fake1411,7,3,14,8
fake1412,7,3,15,9
fake1413,7,3,16,10
fake1414,7,4,1,12
fake1415,7,4,2,13
fake1416,7,4,3,14
fake1417,7,4,4,15
fake1418,7,4,6,1
fake1419,7,4,7,2
fake1420,7,4,8,3
fake1421,7,4,9,4
fake1422,7,4,11,6
fake1423,7,4,12,7
fake1424,7,4,13,8
fake1425,7,4,14,9
fake1426,7,4,15,10
fake1427,7,4,16,11
fake1428,7,5,1,13
fake1429,7,5,2,14
fake1430,7,5,3,15
fake1431,7,5,4,16
fake1432,7,5,5,1
fake1433,7,5,6,2
fake1434,7,5,7,3
fake1435,7,5,8,4
fake1436,7,5,9,5
fake1437,7,5,10,6
fake1438,7,5,11,7
fake1439,7,5,12,8
fake1440,7,5,13,9
fake1441,7,5,15,11
fake1442,7,5,16,12
fake1443,7,6,1,14
fake1444,7,6,2,15
fake1445,7,6,3,16
fake1446,7,6,4,1
fake1447,7,6,5,2
fake1448,7,6,6,3
fake1449,7,6,7,4
fake1450,7,6,8,5
fake1451,7,6,9,6
fake1452,7,6,10,7
fake1453,7,6,11,8
fake1454,7,6,12,9
fake1455,7,6,13,10
fake1456,7,6,14,11
fake1457,7,6,15,12
fake1458,7,6,16,13
fake1459,7,7,1,15
fake1460,7,7,2,16
fake1461,7,7,4,2
fake1462,7,7,5,3
fake1463,7,7,6,4
fake1464,7,7,7,5
fake1465,7,7,8,6
fake1466,7,7,9,7
fake1467,7,7,10,8
fake1468,7,7,11,9
fake1469,7,7,12,10
fake1470,7,7,13,11
fake1471,7,7,14,12
fake1472,7,7,15,13
fake1473,7,7,16,14
fake1474,7,8,1,16
fake1475,7,8,2,1
fake1476,7,8,3,2
fake1477,7,8,4,3
fake1478,7,8,5,4
fake1479,7,8,6,5
fake1480,7,8,8,7
fake1481,7,8,9,8
fake1482,7,8,10,9
fake1483,7,8,11,10
fake1484,7,8,13,12
fake1485,7,8,14,13
fake1486,7,8,15,14
fake1487,7,8,16,15
fake1488,7,9,1,1
fake1489,7,9,2,2
fake1490,7,9,3,3
fake1491,7,9,4,4
fake1492,7,9,5,5
fake1493,7,9,6,6
fake1494,7,9,7,7
fake1495,7,9,8,8
fake1496,7,9,9,9
fake1497,7,9,11,11
fake1498,7,9,12,12
fake1499,7,9,13,13
fake1500,7,9,15,15
fake1501,7,9,16,16
fake1502,7,10,1,2
fake1503,7,10,2,3
fake1504,7,10,3,4
fake1505,7,10,4,5
fake1506,7,10,5,6
fake1507,7,10,6,7
fake1508,7,10,7,8
fake1509,7,10,8,9
fake1510,7,10,9,10
fake1511,7,10,10,11
fake1512,7,10,11,12
fake1513,7,10,12,13
fake1514,7,10,13,14
fake1515,7,10,14,15
fake1516,7,10,15,16
fake1517,7,10,16,1
fake1518,7,11,1,3
fake1519,7,11,2,4
fake1520,7,11,3,5
fake1521,7,11,4,6
fake1522,7,11,5,7
fake1523,7,11,6,8
fake1524,7,11,7,9
fake1525,7,11,8,10
fake1526,7,11,9,11
fake1527,7,11,10,12
fake1528,7,11,11,13
fake1529,7,11,12,14
fake1530,7,11,13,15
fake1531,7,11,14,16
fake1532,7,11,15,1
fake1533,7,11,16,2
fake1534,7,12,2,5
fake1535,7,12,3,6
fake1536,7,12,4,7
fake1537,7,12,5,8
fake1538,7,12,7,10
fake1539,7,12,8,11
fake1540,7,12,9,12
fake1541,7,12,10,13
fake1542,7,12,11,14
fake1543,7,12,13,16
fake1544,7,12,14,1
fake1545,7,12,16,3
fake1546,7,13,1,5
fake1547,7,13,4,8
fake1548,7,13,6,10
fake1549,7,13,7,11
fake1550,7,13,8,12
fake1551,7,13,9,13
fake1552,7,13,10,14
fake1553,7,13,11,15
fake1554,7,13,12,16
fake1555,7,13,14,2
fake1556,7,13,15,3
fake1557,7,13,16,4
fake1558,7,14,2,7
fake1559,7,14,3,8
fake1560,7,14,5,10
fake1561,7,14,6,11
fake1562,7,14,7,12
fake1563,7,14,8,13
fake1564,7,14,9,14
fake1565,7,14,10,15
fake1566,7,14,11,16
fake1567,7,14,12,1
fake1568,7,14,13,2
fake1569,7,14,14,3
fake1570,7,14,15,4
fake1571,7,15,2,8
fake1572,7,15,3,9
fake1573,7,15,4,10
fake1574,7,15,5,11
fake1575,7,15,7,13
fake1576,7,15,8,14
fake1577,7,15,9,15
fake1578,7,15,10,16
fake1579,7,15,11,1
fake1580,7,15,12,2
fake1581,7,15,13,3
fake1582,7,15,14,4
fake1583,7,15,15,5
fake1584,7,15,16,6
fake1585,7,16,1,8
fake1586,7,16,2,9
fake1587,7,16,3,10
fake1588,7,16,5,12
fake1589,7,16,6,13
fake1590,7,16,7,14
fake1591,7,16,8,15
fake1592,7,16,9,16
fake1593,7,16,10,1
fake1594,7,16,11,2
fake1595,7,16,13,4
fake1596,7,16,14,5
fake1597,7,16,16,7
fake1598,8,1,3,12
fake1599,8,1,4,13
fake1600,8,1,5,14
fake1601,8,1,6,15
fake1602,8,1,7,16
fake1603,8,1,8,1
fake1604,8,1,9,2
fake1605,8,1,10,3
fake1606,8,1,11,4
fake1607,8,1,12,5
fake1608,8,1,13,6
fake1609,8,1,14,7
fake1610,8,1,15,8
fake1611,8,1,16,9
fake1612,8,2,1,11
fake1613,8,2,2,12
fake1614,8,2,3,13
fake1615,8,2,4,14
fake1616,8,2,5,15
fake1617,8,2,6,16
fake1618,8,2,7,1
fake1619,8,2,10,4
fake1620,8,2,11,5
fake1621,8,2,12,6
fake1622,8,2,13,7
fake1623,8,2,14,8
fake1624,8,2,15,9
fake1625,8,2,16,10
fake1626,8,3,1,12
fake1627,8,3,2,13
fake1628,8,3,3,14
fake1629,8,3,4,15
fake1630,8,3,5,16
fake1631,8,3,6,1
fake1632,8,3,7,2
fake1633,8,3,8,3
fake1634,8,3,11,6
fake1635,8,3,12,7
fake1636,8,3,13,8
fake1637,8,3,14,9
fake1638,8,3,15,10
fake1639,8,3,16,11
fake1640,8,4,1,13
fake1641,8,4,3,15
fake1642,8,4,4,16
fake1643,8,4,6,2
fake1644,8,4,7,3
fake1645,8,4,8,4
fake1646,8,4,9,5
fake1647,8,4,10,6
fake1648,8,4,11,7
fake1649,8,4,13,9
fake1650,8,4,14,10
fake1651,8,4,15,11
fake1652,8,4,16,12
fake1653,8,5,1,14
fake1654,8,5,2,15
fake1655,8,5,3,16
fake1656,8,5,4,1
fake1657,8,5,5,2
fake1658,8,5,6,3
fake1659,8,5,7,4
fake1660,8,5,8,5
fake1661,8,5,9,6
fake1662,8,5,10,7
fake1663,8,5,11,8
fake1664,8,5,12,9
fake1665,8,5,13,10
fake1666,8,5,15,12
fake1667,8,5,16,13
fake1668,8,6,1,15
fake1669,8,6,2,16
fake1670,8,6,3,1
fake1671,8,6,4,2
fake1672,8,6,5,3
fake1673,8,6,6,4
fake1674,8,6,7,5
fake1675,8,6,8,6
fake1676,8,6,9,7
fake1677,8,6,10,8
fake1678,8,6,11,9
fake1679,8,6,12,10
fake1680,8,6,13,11
fake1681,8,6,14,12
fake1682,8,6,16,14
fake1683,8,7,1,16
fake1684,8,7,2,1
fake1685,8,7,3,2
fake1686,8,7,4,3
fake1687,8,7,5,4
fake1688,8,7,6,5
fake1689,8,7,7,6
fake1690,8,7,8,7
fake1691,8,7,9,8
fake1692,8,7,10,9
fake1693,8,7,11,10
fake1694,8,7,12,11
fake1695,8,7,13,12
fake1696,8,7,14,13
fake1697,8,7,15,14
fake1698,8,7,16,15
fake1699,8,8,1,1
fake1700,8,8,2,2
fake1701,8,8,3,3
fake1702,8,8,4,4
fake1703,8,8,5,5
fake1704,8,8,6,6
fake1705,8,8,7,7
fake1706,8,8,9,9
fake1707,8,8,10,10
fake1708,8,8,11,11
fake1709,8,8,13,13
fake1710,8,8,14,14
fake1711,8,8,15,15
fake1712,8,8,16,16
fake1713,8,9,1,2
fake1714,8,9,3,4
fake1715,8,9,4,5
fake1716,8,9,6,7
fake1717,8,9,7,8
fake1718,8,9,8,9
fake1719,8,9,9,10
fake1720,8,9,10,11
fake1721,8,9,11,12
fake1722,8,9,12,13
fake1723,8,9,13,14
fake1724,8,9,14,15
fake1725,8,9,15,16
fake1726,8,9,16,1
fake1727,8,10,1,3
fake1728,8,10,2,4
fake1729,8,10,3,5
fake1730,8,10,6,8
fake1731,8,10,7,9
fake1732,8,10,8,10
fake1733,8,10,9,11
fake1734,8,10,11,13
fake1735,8,10,12,14
fake1736,8,10,13,15
fake1737,8,10,14,16
