geneID,x,y,z,intensity,seeds
St6galnac5,990.88088241912,1504.2485241874,1.59985835137619,1145.28533218756,3
Nceh1,1066.03667812947,1553.4896808808,1.10099119541493,3641.37861493964,3
Nceh1,1032.57423398528,1558.75974752073,1.09696522639107,2007.67748660703,3
Fam171b,996.895414371136,1479.96883627223,1.36993138512495,2238.52937317984,3
Tmem179,1053.55965781524,1416.72529569437,1.05411948939527,3201.50986796173,3
Armc1,1037.63208339159,1417.42557697405,1.07705526847636,4656.16775709583,3
Bptf,1054.94703252589,1469.91257746134,1.06691295104424,2297.9500186828,4
Bptf,981.373892455434,1503.94620847108,1.35303910853005,2159.63774917532,3
Wbscr17,1053.86661306802,1453.3086947848,1.07466809300377,1700.95623384015,3
Cyfip1,999.743722723229,1445.48464127476,1.03982500374639,5085.16900946513,3
Cyfip1,1061.97959132229,1419.4539575327,1.08103077740131,2808.3399691417,4
Sh3glb2,982.425076509006,1496.57859491187,1.11076611937384,4065.95510659917,3
Ggnbp2,1084.75463022347,1420.19412346734,1.11963630801578,3045.360190221,4
Ggnbp2,1073.92515466341,1497.20625698582,1.06877899894547,3516.09766172558,4
Ggnbp2,993.815750556914,1516.2199145821,1.1126131436508,3976.14619641437,3
Ggnbp2,1040.74845568376,1436.1998650281,1.07440312789931,3089.45595744188,4
Mia3,1085.47235132406,1410.04181594889,1.10574860346606,2946.05586601619,4
Mia3,1073.04886304795,1422.43470192343,1.08819280231054,2841.01556982111,3
Mia3,1078.08667087898,1406.43256525296,1.06921666940436,3024.07978454912,3
Vps41,1045.38178279031,1421.34416829409,1.08534967685111,3184.31428963441,3
Mapk8ip2,1025.72847925114,1411.62187822098,1.01848224789149,2380.35347912182,4
Usp33,1094.55538080037,1507.16686062442,1.04638905639908,3121.14002514203,3
Map2k4,1016.81667056406,1449.56901525075,1.07167084648522,2678.1433559471,4
Map2k4,1057.71213663255,1414.83472185814,1.08299464122842,3033.82029467613,3
Fut9,991.108741343528,1456.52992364672,1.07295660916609,4477.8753895099,3
Syt5,1084.73612191318,1486.97227658451,1.08441044221499,2972.65421956627,4
Syt5,1081.73347521905,1506.91248855622,1.05994811574189,1527.96714688305,3
Rapgef2,1067.99789345791,1407.97065070736,1.08632511306452,3216.47802251593,4
Gdpd1,1083.86112010208,1420.41632892969,1.08958955237513,2378.51083046071,4
Anapc16,1040.80266857692,1508.67847978689,1.08781095614645,3373.16440622228,4
Tnpo2,991.128770497669,1483.89903226145,1.11007521588783,3304.15360373136,4
Slc4a7,1093.62359259269,1411.49889986576,1.00501457582325,3456.78408587426,4
Asap1,978.569247380368,1520.81528810869,1.05212075871053,3322.69291191115,3
Dagla,1090.04259331041,1414.42895836063,1.01889135438632,2138.47814197037,3
Pnpla8,1021.82010598328,1422.21178140064,1.09079278077473,2865.02637827641,3
Ski,990.436937236853,1511.75583343111,1.06849335721738,2866.60603899878,3
Pcyt2,1034.92242575632,1413.48732016697,1.08044493816283,2695.7744335613,4
Pcyt2,982.09536880881,1465.61681282248,1.10779285909759,3928.48219276513,3
Pcyt2,985.200264966675,1518.06360121239,1.06708645517423,4661.06660305735,3
Pcyt2,999.770105839157,1503.8328494296,1.12952051233277,3774.99093102862,4
Odf2,1011.20525145125,1480.32581987469,1.07019460736451,6137.88015357751,4
Camk2g,1020.59173605323,1438.46528058353,1.07802688105961,4712.86948341831,4
Asap2,1028.33169308171,1530.94189002811,1.03142378665934,1981.51211781473,4
Hexim1,1013.40642186748,1461.69952238593,1.11228626998274,3056.40303558496,4
Ccnl2,995.924938205559,1484.47879541953,1.09500186530549,3277.86903082449,4
Ube2h,1038.31370339943,1411.9475699627,1.06913754195738,5294.32967991674,4
