ch,x,y,z,int
3,1654.0,1769.0,1.0,63100
3,1107.0,1541.0,1.0,54478
3,1933.0,1691.0,1.0,53165
3,998.0,281.0,0.0,58252
3,1813.0,430.0,0.0,54431
3,2013.0,522.0,1.0,45001
3,534.0,970.0,1.0,60326
3,1994.0,1896.0,1.0,61496
3,171.0,514.0,1.0,61645
3,708.0,1603.0,1.0,54508
3,1441.0,35.0,1.0,49996
3,1471.0,1513.0,1.0,59770
3,1754.0,860.0,1.0,58868
3,1017.0,1616.0,0.0,55009
3,474.0,1874.0,1.0,59330
3,1795.0,472.0,0.0,45980
3,1763.0,711.0,0.0,57770
3,2018.0,1903.0,1.0,54985
3,466.0,550.0,1.0,56461
3,601.0,318.0,1.0,45394
3,414.0,576.0,1.0,51471
3,1963.0,1773.0,1.0,46162
3,827.0,100.0,1.0,55280
3,834.0,42.0,1.0,38767
3,1697.0,1503.0,1.0,51965
3,227.0,1855.0,1.0,51147
3,508.0,1772.0,1.0,53876
3,1608.0,1639.0,0.0,44357
3,841.0,1012.0,1.0,49880
3,2016.0,1972.0,1.0,45879
3,439.0,1059.0,1.0,46189
3,1021.0,1647.0,0.0,47186
3,886.0,184.0,1.0,53611
3,630.0,975.0,0.0,50554
3,584.0,787.0,0.0,47471
3,2026.0,1834.0,1.0,50907
3,1744.0,757.0,0.0,39914
3,131.0,1352.0,1.0,55271
3,109.0,786.0,1.0,54565
3,558.0,477.0,1.0,41373
3,1070.0,691.0,1.0,56720
3,488.0,1605.0,1.0,50246
3,1960.0,439.0,0.0,39502
3,719.0,624.0,0.0,47176
3,541.0,915.0,0.0,44944
3,700.0,133.0,1.0,44380
3,749.0,546.0,0.0,47890
3,164.0,1612.0,1.0,47653
3,294.0,1463.0,1.0,50175
3,534.0,1783.0,1.0,52290
3,1522.0,1743.0,1.0,51799
3,404.0,1391.0,1.0,47021
3,514.0,1416.0,1.0,45015
3,1974.0,1881.0,1.0,40143
3,1864.0,1713.0,1.0,42884
3,1699.0,1326.0,1.0,42107
3,1676.0,1030.0,1.0,48810
3,648.0,374.0,1.0,38612
3,100.0,1404.0,1.0,46579
3,1880.0,1807.0,1.0,43931
3,445.0,414.0,1.0,43860
3,810.0,2011.0,1.0,43023
3,621.0,698.0,1.0,41081
3,487.0,1675.0,1.0,39371
3,534.0,40.0,1.0,44967
3,1240.0,255.0,1.0,39790
3,378.0,783.0,1.0,40217
3,1768.0,19.0,1.0,37374
3,452.0,475.0,1.0,39989
3,224.0,1160.0,1.0,38433
3,497.0,1696.0,1.0,44381
3,1576.0,1597.0,1.0,36320
3,585.0,532.0,0.0,33689
3,1635.0,1310.0,0.0,41968
3,1654.0,103.0,1.0,40412
3,1849.0,1756.0,1.0,41389
3,556.0,415.0,1.0,37045
3,497.0,559.0,1.0,41392
3,1117.0,522.0,1.0,44438
3,494.0,397.0,1.0,34786
3,1918.0,1056.0,0.0,38468
3,877.0,856.0,0.0,46637
3,1673.0,1693.0,0.0,33888
3,222.0,1207.0,1.0,42819
3,1199.0,1462.0,0.0,41014
3,477.0,1920.0,1.0,41508
3,1882.0,810.0,1.0,30565
3,1228.0,1328.0,0.0,44529
3,1731.0,421.0,1.0,34467
3,1699.0,1576.0,1.0,37270
3,1101.0,399.0,0.0,38917
3,1686.0,821.0,1.0,34645
3,756.0,828.0,0.0,39524
3,663.0,1034.0,1.0,40919
3,1379.0,978.0,1.0,38589
3,752.0,470.0,0.0,33588
3,663.0,599.0,1.0,37799
3,339.0,1831.0,1.0,36628
3,2038.0,519.0,1.0,26101
3,451.0,1972.0,1.0,37208
3,779.0,1009.0,1.0,36044
3,2006.0,380.0,1.0,26614
3,1717.0,1003.0,1.0,30716
3,845.0,1675.0,1.0,30253
3,297.0,1525.0,1.0,35304
3,88.0,322.0,1.0,28692
3,1900.0,881.0,1.0,31087
3,522.0,1640.0,1.0,31035
3,1534.0,1306.0,0.0,37433
3,1003.0,1924.0,1.0,32767
3,1135.0,1973.0,1.0,34221
3,597.0,1725.0,1.0,31585
3,412.0,1964.0,1.0,29492
3,977.0,310.0,1.0,23692
3,1996.0,1889.0,1.0,32171
3,1294.0,1181.0,1.0,26427
3,1850.0,859.0,1.0,26144
3,624.0,1982.0,1.0,29944
3,55.0,1684.0,1.0,31077
3,1993.0,1145.0,1.0,26986
3,483.0,335.0,1.0,22319
3,1022.0,713.0,1.0,24183
3,101.0,1564.0,1.0,28651
3,406.0,1776.0,1.0,28328
3,509.0,1931.0,1.0,30147
3,8.0,1350.0,1.0,28123
3,1761.0,687.0,0.0,25395
3,1871.0,1892.0,1.0,23631
3,1959.0,1560.0,1.0,23974
3,966.0,2.0,1.0,27565
3,1700.0,1774.0,1.0,24523
3,61.0,1707.0,1.0,25865
