hyb,ch,x,y,z,int
0,1,1829.0,75.0,0.0,1952
0,1,1841.0,69.0,3.0,1098
0,1,1813.0,35.0,0.0,932
0,1,1813.0,47.0,1.0,937
0,1,1806.0,33.0,0.0,949
0,1,1804.0,22.0,0.0,842
0,1,1847.0,77.0,0.0,842
0,1,1808.0,44.0,3.0,817
0,1,1851.0,72.0,4.0,723
0,1,1850.0,53.0,1.0,678
0,1,1829.0,78.0,4.0,745
0,1,1822.0,31.0,0.0,653
0,1,1815.0,42.0,1.0,709
0,1,1809.0,27.0,0.0,689
0,1,1833.0,40.0,3.0,619
0,1,1850.0,69.0,6.0,683
0,1,1848.0,72.0,0.0,707
0,1,1806.0,33.0,6.0,644
0,1,1856.0,69.0,0.0,716
0,1,1851.0,69.0,0.0,670
0,1,1835.0,74.0,0.0,673
0,1,1823.0,61.0,5.0,635
0,1,1835.0,71.0,3.0,625
1,1,1852.801,79.017,0.0,1447
1,1,1806.801,34.017,0.0,1238
1,1,1834.801,72.017,0.0,1016
1,1,1852.801,53.017,2.0,881
1,1,1810.801,47.017,5.0,801
1,1,1804.801,40.017,2.0,853
1,1,1803.801,32.017,3.0,792
1,1,1822.801,40.017,1.0,735
1,1,1807.801,29.017,2.0,856
1,1,1824.801,66.017,0.0,657
1,1,1816.801,57.017,3.0,715
1,1,1822.801,59.017,5.0,712
1,1,1857.801,62.017,0.0,660
1,1,1817.801,20.017,0.0,615
1,1,1836.801,70.017,6.0,677
1,1,1847.801,59.017,0.0,644
1,1,1847.801,72.017,0.0,646
2,1,1813.203,42.32,1.0,1317
2,1,1807.203,41.32,1.0,980
2,1,1804.203,24.32,4.0,957
2,1,1803.203,27.32,0.0,838
2,1,1830.203,71.32,2.0,866
2,1,1821.203,75.32,6.0,737
2,1,1817.203,61.32,0.0,832
2,1,1856.203,74.32,0.0,752
2,1,1833.203,75.32,0.0,698
2,1,1821.203,28.32,0.0,611
2,1,1809.203,27.32,0.0,613
2,1,1828.203,26.32,3.0,589
2,1,1839.203,30.32,2.0,556
2,1,1803.203,37.32,2.0,610
3,1,1824.194,57.903,4.0,1312
3,1,1803.194,21.903,0.0,1097
3,1,1831.194,41.903,5.0,1229
3,1,1827.194,71.903,2.0,1025
3,1,1833.194,62.903,0.0,898
3,1,1815.194,57.903,3.0,967
3,1,1832.194,30.903,0.0,961
3,1,1831.194,75.903,0.0,877
3,1,1829.194,25.903,0.0,929
3,1,1809.194,51.903,2.0,818
3,1,1822.194,66.903,2.0,903
3,1,1804.194,35.903,0.0,781
3,1,1842.194,77.903,0.0,800
3,1,1850.194,53.903,1.0,779
3,1,1836.194,33.903,0.0,839
3,1,1814.194,23.903,0.0,765
3,1,1846.194,77.903,1.0,713
3,1,1825.194,31.903,0.0,732
3,1,1817.194,23.903,0.0,653
3,1,1820.194,61.903,0.0,711
4,1,1840.902,26.03,4.0,978
4,1,1831.902,66.03,2.0,862
4,1,1809.902,35.03,0.0,661
4,1,1815.902,15.03,0.0,609
4,1,1853.902,68.03,3.0,671
4,1,1815.902,60.03,4.0,680
4,1,1802.902,23.03,2.0,714
4,1,1811.902,32.03,6.0,612
4,1,1850.902,60.03,0.0,569
4,1,1809.902,50.03,5.0,579
4,1,1836.902,28.03,6.0,601
5,1,1857.481,72.119,0.0,2238
5,1,1827.481,79.119,3.0,2023
