geneID,x,y,z,intensity,seeds
acer1,2019.328,370.922333333333,0.0,645.0,3
acvr2a,124.339666666667,1626.30966666667,2.0,572.666666666667,3
acvr2a,186.93233333333302,973.269666666667,1.0,698.666666666667,3
acvr2a,2033.2656666666699,1843.6029999999998,1.33333333333333,651.0,3
acvr2a,1009.3396666666699,1801.97633333333,0.0,679.0,3
acvr2a,1745.2656666666699,295.269666666667,0.33333333333333304,868.0,3
acvr2a,894.5989999999999,1202.603,0.0,715.0,3
acvr2a,1951.0479999999998,1604.067,0.0,620.0,4
acvr2a,2013.64933333333,728.1419999999999,0.0,745.0,3
acvr2a,1979.2656666666699,432.26966666666704,5.0,649.333333333333,3
acvr2a,1874.2656666666699,837.6030000000001,6.0,736.333333333333,3
acvr2a,981.048,1665.567,0.0,683.0,4
acvr2a,954.270666666667,897.213333333333,4.66666666666667,695.0,3
acvr2a,274.270666666667,718.5466666666671,4.0,749.0,3
acvr2a,1752.98266666667,1415.4753333333301,2.0,606.333333333333,3
acvr2a,1935.316,1531.80866666667,5.0,580.666666666667,3
adcy1,1415.08875,195.02700000000002,3.75,588.0,4
adcy1,1699.037,1835.422,0.0,608.333333333333,3
adcy1,51.95399999999999,2047.59766666667,3.0,606.0,3
adcy1,2000.37033333333,833.088666666667,6.0,644.666666666667,3
adcy1,1923.39433333333,267.095666666667,2.0,700.666666666667,3
adcy1,110.287333333333,1035.931,6.0,567.333333333333,3
adcy1,1692.3029999999999,559.6593333333329,3.6666666666666696,573.333333333333,3
adcy1,52.3943333333333,310.095666666667,0.0,556.0,3
adcy1,115.370333333333,2018.422,4.0,586.333333333333,3
adcy1,392.63633333333297,138.326,2.0,611.666666666667,3
adcy1,228.33875,55.777,5.0,610.75,4
adcy1,2011.08875,1574.027,2.0,648.5,4
adcy1,1658.954,1363.59766666667,5.0,603.0,3
adcy1,1739.28733333333,114.931,1.0,647.333333333333,3
adcy1,1002.3943333333301,1838.09566666667,4.0,625.666666666667,3
adcy1,1960.3029999999999,693.6593333333329,3.0,615.0,3
adcy1,389.58875,580.7769999999999,3.0,606.5,4
adcy1,1846.39433333333,1352.09566666667,2.0,699.0,3
adcy1,210.33875,611.5269999999999,0.0,613.75,4
adcy1,1714.28733333333,393.931,4.0,613.333333333333,3
adcy1,255.58875,407.277,0.75,710.75,4
adcy1,102.727666666667,444.095666666667,1.33333333333333,675.0,3
adcy1,1496.37033333333,1695.422,0.0,636.333333333333,3
adcy1,2040.39433333333,517.762333333333,0.0,594.666666666667,3
adcy1,184.72766666666698,921.0956666666671,3.3333333333333304,668.0,3
adcy1,625.370333333333,393.088666666667,3.0,660.333333333333,3
adcy1,1496.39433333333,248.09566666666697,0.666666666666667,571.0,3
adcy1,1777.6206666666699,736.931,1.6666666666666698,645.0,3
adcy1,1851.39433333333,120.429,0.0,555.0,3
adcy1,1434.28733333333,392.26433333333296,5.0,653.333333333333,3
adcy1,1793.28733333333,1767.59766666667,1.0,573.333333333333,3
adcy1,1899.70366666667,666.088666666667,3.6666666666666696,565.333333333333,3
adcy1,1714.39433333333,1547.4289999999999,5.33333333333333,563.666666666667,3
adcy1,184.72766666666698,1161.7623333333302,0.0,609.666666666667,3
adcy1,43.3703333333333,997.088666666667,0.666666666666667,612.0,3
adcy1,1783.954,1221.59766666667,4.0,552.333333333333,3
adcy1,1649.0610000000001,207.429,2.3333333333333304,648.666666666667,3
adcy1,221.287333333333,696.931,6.0,557.333333333333,3
adcy1,1875.37033333333,1560.08866666667,4.0,530.666666666667,3
adcy1,1956.37033333333,411.755333333333,1.0,679.666666666667,3
adcy1,219.72766666666698,514.762333333333,0.33333333333333304,600.333333333333,3
adcy1,1424.37033333333,268.755333333333,6.0,572.666666666667,3
adcy1,1936.39433333333,1315.4289999999999,6.0,565.0,3
adcy1,251.303,641.992666666667,2.3333333333333304,602.333333333333,3
adcy1,1651.33875,619.5269999999999,1.0,618.75,4
adcy1,222.62066666666698,883.597666666667,0.0,635.0,3
adcy1,1992.0610000000001,891.429,6.0,585.333333333333,3
adcy1,1282.303,317.992666666667,4.0,537.333333333333,3
adcy1,1906.39433333333,28.429000000000002,1.0,610.666666666667,3
adcy1,1981.954,185.59766666666698,0.0,596.666666666667,3
adcy1,355.63633333333297,408.32599999999996,0.0,617.666666666667,3
adcy1,15.394333333333302,738.762333333333,2.0,637.0,3
adcy1,1862.9696666666698,575.992666666667,0.0,614.0,3
adcy1,158.287333333333,979.931,5.0,603.666666666667,3
adcy1,1731.70366666667,1899.422,0.0,567.333333333333,3
adcy1,1764.37033333333,233.422,5.0,529.666666666667,3
adcy1,295.954,309.931,6.0,580.333333333333,3
adcy1,1838.954,1163.931,6.0,553.0,3
adcy1,1774.33875,1409.777,1.75,683.5,4
adcy1,1844.37033333333,1494.75533333333,1.6666666666666698,628.0,3
adcy1,1559.7276666666698,239.762333333333,1.0,613.0,3
adcy1,1696.037,673.422,4.0,633.0,3
adcy1,1931.0610000000001,853.762333333333,1.0,620.0,3
adcy1,1717.83875,193.27700000000002,0.25,619.25,4
adcy1,1961.7276666666698,269.762333333333,1.0,602.333333333333,3
adcy1,1344.28733333333,313.597666666667,3.0,594.0,3
adcy1,95.061,644.762333333333,4.0,576.0,3
adcy1,390.30300000000005,674.326,6.0,685.666666666667,3
adcy1,2046.954,1665.931,0.33333333333333304,584.666666666667,3
adcy1,1723.3029999999999,612.326,4.66666666666667,589.333333333333,3
adcy1,1800.954,1266.59766666667,5.0,659.0,3
adcy1,1421.3029999999999,314.659333333333,6.0,600.333333333333,3
adcy1,1959.37033333333,782.7553333333329,0.0,608.333333333333,3
adcy1,1903.3029999999999,720.992666666667,2.0,598.666666666667,3
adcy1,154.33875,1152.277,2.0,548.25,4
