hyb,ch,x,y,z,int
0,1,1581.0,1988.0,4.0,913
0,1,1672.0,1965.0,1.0,789
0,1,1655.0,1978.0,0.0,790
0,1,1666.0,1980.0,2.0,707
0,1,1666.0,1944.0,1.0,713
0,1,1632.0,1954.0,6.0,646
0,1,1632.0,1954.0,4.0,630
0,1,1632.0,1954.0,0.0,612
1,1,1646.8010000000004,2008.017,0.0,856
1,1,1609.8010000000004,1949.017,1.0,836
1,1,1649.8010000000004,1985.017,4.0,689
1,1,1669.8010000000004,1994.017,0.0,672
1,1,1672.8010000000004,1955.017,4.0,695
1,1,1606.8010000000004,1943.017,0.0,612
1,1,1592.8010000000004,2004.017,6.0,658
1,1,1640.8010000000004,1938.017,0.0,657
1,1,1637.8010000000004,1945.017,0.0,617
1,1,1631.8010000000004,1955.017,3.0,693
2,1,1630.203,1968.32,0.0,920
2,1,1607.203,1988.32,2.0,848
2,1,1631.203,1994.32,6.0,570
2,1,1669.203,1950.32,5.0,603
2,1,1632.203,1955.32,5.0,641
2,1,1626.203,1968.32,0.0,565
3,1,1612.194,1989.903,0.0,2343
3,1,1630.194,1953.903,0.0,1028
3,1,1655.194,1950.903,0.0,933
3,1,1646.194,2007.903,0.0,817
3,1,1673.194,1962.903,6.0,698
3,1,1621.194,1999.903,5.0,655
3,1,1632.194,1955.903,6.0,667
4,1,1599.902,1976.03,6.0,904
4,1,1659.902,1976.03,0.0,690
4,1,1584.902,1971.03,6.0,703
4,1,1617.902,1953.03,0.0,695
4,1,1632.902,1967.03,0.0,571
4,1,1621.902,1966.03,1.0,543
4,1,1631.902,1956.03,6.0,636
4,1,1625.902,1969.03,4.0,575
4,1,1631.902,1956.03,3.0,632
4,1,1668.902,1951.03,5.0,569
5,1,1620.481,1950.119,0.0,2832
5,1,1584.481,1971.119,1.0,1839
5,1,1638.481,1956.119,0.0,1414
5,1,1629.481,1977.119,0.0,1441
5,1,1652.481,2010.119,0.0,1267
5,1,1662.481,1998.119,0.0,1151
5,1,1655.481,1991.119,6.0,1162
5,1,1642.481,1941.119,0.0,1193
5,1,1611.481,1992.119,2.0,1174
5,1,1621.481,1978.119,0.0,1126
