hyb,ch,x,y,z,int
0,1,1946.0,1857.0,2.0,710
0,1,1947.0,1859.0,2.0,735
0,1,1955.0,1834.0,1.0,683
0,1,1934.0,1889.0,1.0,604
0,1,1931.0,1888.0,4.0,571
0,1,1939.0,1887.0,0.0,749
0,1,1939.0,1887.0,4.0,699
0,1,1953.0,1885.0,2.0,587
0,1,1968.0,1834.0,0.0,564
1,1,1938.8,1888.024,5.0,712
1,1,1938.8,1888.024,1.0,686
2,1,1961.187,1874.328,2.0,558
2,1,1939.187,1888.328,1.0,735
2,1,1939.187,1888.328,6.0,703
2,1,1948.187,1840.328,6.0,552
2,1,1977.187,1840.328,2.0,521
2,1,1956.187,1842.328,6.0,527
2,1,1968.187,1835.328,4.0,538
3,1,1983.183,1861.896,1.0,662
3,1,1939.183,1888.896,6.0,697
3,1,1939.183,1888.896,0.0,701
3,1,1939.183,1888.896,3.0,708
3,1,1949.183,1892.896,0.0,523
4,1,1986.898,1868.017,3.0,627
4,1,1938.898,1889.017,2.0,821
4,1,1967.898,1854.017,5.0,759
4,1,1977.898,1840.017,2.0,709
4,1,1938.898,1889.017,6.0,708
4,1,1972.898,1839.017,2.0,584
4,1,1994.898,1855.017,2.0,620
4,1,1958.898,1893.017,2.0,609
4,1,1948.898,1893.017,2.0,578
4,1,1929.898,1872.017,2.0,492
4,1,1967.898,1836.017,2.0,605
4,1,1947.898,1841.017,6.0,475
4,1,1961.898,1876.017,2.0,549
4,1,1955.898,1875.017,2.0,512
4,1,1957.898,1863.017,2.0,520
4,1,1963.898,1864.017,2.0,533
4,1,1943.898,1896.017,2.0,532
4,1,1953.898,1844.017,2.0,534
4,1,1927.898,1851.017,2.0,534
4,1,1930.898,1868.017,2.0,540
4,1,1955.898,1890.017,2.0,504
4,1,1964.898,1840.017,2.0,494
4,1,1986.898,1855.017,2.0,523
4,1,1967.898,1848.017,2.0,521
4,1,1975.898,1888.017,2.0,481
4,1,1971.898,1895.017,2.0,466
4,1,1945.898,1892.017,2.0,505
4,1,1936.898,1886.017,2.0,501
4,1,1971.898,1865.017,2.0,491
4,1,1953.898,1852.017,2.0,473
4,1,1944.898,1851.017,2.0,469
4,1,1941.898,1860.017,2.0,481
4,1,1959.898,1858.017,2.0,488
4,1,1981.898,1858.017,2.0,467
4,1,1952.898,1847.017,2.0,474
4,1,1967.898,1836.017,6.0,482
4,1,1994.898,1855.017,6.0,498
5,1,1966.472,1873.125,3.0,1250
5,1,1978.472,1845.125,0.0,917
5,1,1965.472,1855.125,6.0,693
5,1,1974.472,1839.125,5.0,729
5,1,1944.472,1863.125,2.0,579
5,1,1939.472,1889.125,5.0,733
5,1,1941.472,1880.125,2.0,555
5,1,1939.472,1889.125,1.0,725
5,1,1929.472,1849.125,2.0,559
6,1,1977.432,1836.134,0.0,912
6,1,1977.432,1848.134,3.0,763
6,1,1960.432,1874.134,2.0,661
6,1,1978.432,1842.134,3.0,819
6,1,1939.432,1889.134,0.0,727
6,1,1939.432,1889.134,4.0,728
6,1,1955.432,1844.134,6.0,543
6,1,1976.432,1846.134,0.0,630
6,1,1982.432,1841.134,5.0,565
6,1,1968.432,1836.134,2.0,523
7,1,1978.531,1839.654,0.0,888
7,1,1954.531,1834.654,0.0,763
7,1,1985.531,1861.654,6.0,749
7,1,1984.531,1847.654,0.0,747
7,1,1969.531,1834.654,5.0,813
7,1,1951.531,1892.654,4.0,607
7,1,1992.531,1855.654,6.0,554
7,1,1939.531,1889.654,5.0,717
7,1,1939.531,1889.654,0.0,719
7,1,1939.531,1889.654,2.0,702
7,1,1976.531,1844.654,5.0,563
7,1,1973.531,1840.654,3.0,544
7,1,1968.531,1836.654,0.0,603
8,1,1977.878,1844.806,0.0,948
8,1,1977.878,1836.806,0.0,795
8,1,1977.878,1847.806,2.0,721
8,1,1967.878,1836.806,0.0,648
8,1,1976.878,1842.806,4.0,749
8,1,1933.878,1872.806,0.0,633
8,1,1939.878,1889.806,5.0,733
8,1,1939.878,1889.806,1.0,720
8,1,1962.878,1876.806,2.0,611
8,1,1970.878,1838.806,5.0,579
9,1,1966.744,1873.093,3.0,1062
9,1,1978.744,1838.093,0.0,1028
9,1,1945.744,1857.093,3.0,871
9,1,1982.744,1862.093,1.0,807
9,1,1950.744,1893.093,4.0,573
9,1,1939.744,1890.093,4.0,740
9,1,1939.744,1890.093,0.0,712
9,1,1968.744,1837.093,3.0,538
9,1,1968.744,1837.093,0.0,519
9,1,1968.744,1837.093,6.0,520
10,1,1965.778,1886.11,4.0,682
10,1,1977.778,1840.11,2.0,768
10,1,1939.778,1890.11,6.0,712
10,1,1939.778,1890.11,0.0,744
10,1,1939.778,1890.11,3.0,729
10,1,1960.778,1874.11,2.0,607
10,1,1977.778,1845.11,0.0,668
10,1,1947.778,1859.11,1.0,568
10,1,1972.778,1838.11,6.0,548
10,1,1968.778,1837.11,6.0,670
10,1,1968.778,1837.11,0.0,611
11,1,1960.68,1874.258,2.0,1024
11,1,1977.68,1840.258,0.0,1046
11,1,1941.68,1880.258,2.0,595
11,1,1949.68,1879.258,1.0,570
11,1,1967.68,1858.258,4.0,562
11,1,1939.68,1890.258,0.0,707
11,1,1939.68,1890.258,5.0,710
11,1,1964.68,1834.258,5.0,538
11,1,1968.68,1837.258,6.0,541
12,1,1954.493,1834.482,1.0,827
12,1,1982.493,1841.482,4.0,786
12,1,1971.493,1845.482,2.0,731
12,1,1982.493,1873.482,0.0,637
12,1,1951.493,1835.482,4.0,659
12,1,1938.493,1850.482,2.0,619
12,1,1929.493,1849.482,2.0,635
12,1,1933.493,1888.482,1.0,585
12,1,1939.493,1890.482,0.0,737
12,1,1978.493,1839.482,5.0,760
12,1,1939.493,1890.482,4.0,720
12,1,1972.493,1838.482,2.0,659
12,1,1976.493,1840.482,1.0,672
12,1,1977.493,1846.482,2.0,581
12,1,1953.493,1834.482,6.0,548
12,1,1974.493,1839.482,5.0,584
12,1,1968.493,1837.482,3.0,554
13,1,1972.382,1869.635,0.0,942
13,1,1967.382,1854.635,6.0,928
13,1,1947.382,1859.635,2.0,1049
13,1,1987.382,1867.635,4.0,673
13,1,1972.382,1845.635,6.0,651
13,1,1940.382,1890.635,0.0,759
13,1,1977.382,1840.635,2.0,635
13,1,1940.382,1890.635,5.0,711
13,1,1955.382,1843.635,6.0,560
14,1,1981.49,1872.33,2.0,1060
14,1,1930.49,1887.33,4.0,668
14,1,1949.49,1869.33,0.0,534
14,1,1940.49,1890.33,5.0,721
14,1,1940.49,1890.33,2.0,758
14,1,1956.49,1882.33,5.0,528
14,1,1977.49,1840.33,2.0,559
14,1,1969.49,1837.33,2.0,544
15,1,1933.794,1854.474,0.0,582
15,1,1940.794,1890.474,0.0,731
15,1,1976.794,1840.474,2.0,585
15,1,1940.794,1890.474,5.0,713
15,1,1973.794,1839.474,5.0,530
15,1,1969.794,1837.474,0.0,549
16,1,1978.981,1838.457,0.0,904
16,1,1971.981,1845.457,6.0,757
16,1,1940.981,1890.457,5.0,725
16,1,1940.981,1890.457,3.0,737
16,1,1940.981,1890.457,0.0,726
17,1,1978.213,1844.82,0.0,1317
17,1,1943.213,1896.82,6.0,784
17,1,1970.213,1837.82,0.0,703
17,1,1953.213,1884.82,2.0,530
17,1,1941.213,1890.82,5.0,709
17,1,1941.213,1890.82,1.0,716
17,1,1949.213,1869.82,0.0,539
17,1,1974.213,1839.82,5.0,548
17,1,1961.213,1894.82,2.0,536
18,1,1981.468,1872.43,2.0,1276
18,1,1977.468,1836.43,0.0,1207
18,1,1933.468,1889.43,1.0,938
18,1,1966.468,1886.43,4.0,837
18,1,1930.468,1887.43,4.0,770
18,1,1977.468,1847.43,2.0,830
18,1,1969.468,1834.43,5.0,821
18,1,1978.468,1842.43,3.0,866
18,1,1949.468,1879.43,1.0,628
18,1,1933.468,1872.43,0.0,646
18,1,1941.468,1890.43,0.0,756
18,1,1989.468,1858.43,4.0,551
18,1,1941.468,1890.43,3.0,708
18,1,1941.468,1890.43,6.0,696
18,1,1925.468,1882.43,0.0,536
18,1,1953.468,1834.43,0.0,515
18,1,1970.468,1837.43,3.0,564
19,1,1953.976,1834.557,0.0,741
19,1,1977.976,1839.557,5.0,946
19,1,1981.976,1841.557,5.0,770
19,1,1967.976,1857.557,4.0,620
