hyb,ch,x,y,z,int
0,1,500.0,399.0,4.0,1156
0,1,539.0,381.0,4.0,1259
0,1,578.0,390.0,4.0,1100
0,1,570.0,418.0,0.0,1047
0,1,528.0,379.0,5.0,1225
0,1,500.0,406.0,2.0,997
0,1,541.0,397.0,6.0,817
0,1,560.0,360.0,0.0,846
0,1,530.0,382.0,0.0,854
0,1,510.0,386.0,3.0,807
0,1,508.0,382.0,4.0,790
0,1,558.0,421.0,3.0,917
0,1,537.0,389.0,1.0,811
0,1,565.0,359.0,4.0,792
0,1,567.0,395.0,1.0,718
0,1,512.0,421.0,2.0,726
0,1,527.0,390.0,5.0,799
0,1,536.0,394.0,6.0,695
0,1,516.0,395.0,6.0,715
0,1,510.0,420.0,6.0,682
0,1,536.0,379.0,3.0,764
0,1,534.0,383.0,6.0,662
0,1,518.0,415.0,5.0,705
0,1,504.0,395.0,0.0,610
0,1,557.0,379.0,6.0,613
0,1,543.0,402.0,2.0,582
0,1,541.0,415.0,4.0,610
0,1,563.0,392.0,6.0,640
0,1,553.0,377.0,3.0,621
0,1,540.0,338.0,4.0,687
0,1,552.0,418.0,4.0,599
0,1,523.0,414.0,5.0,669
0,1,531.0,384.0,6.0,607
0,1,557.0,376.0,2.0,628
0,1,560.0,406.0,2.0,564
0,1,494.0,417.0,2.0,556
0,1,558.0,418.0,3.0,607
0,1,556.0,384.0,4.0,584
0,1,505.0,404.0,2.0,547
0,1,500.0,395.0,6.0,570
0,1,540.0,338.0,0.0,651
0,1,513.0,418.0,3.0,555
0,1,583.0,390.0,6.0,562
1,1,577.8,391.024,4.0,1074
1,1,535.8,386.024,1.0,568
1,1,551.8,408.024,4.0,562
1,1,541.8,366.024,0.0,527
1,1,544.8,391.024,4.0,528
1,1,539.8,339.024,6.0,621
1,1,539.8,339.024,3.0,602
1,1,539.8,339.024,0.0,611
1,1,527.8,383.024,0.0,537
2,1,545.187,413.328,4.0,1401
2,1,560.187,410.328,2.0,1211
2,1,577.187,390.328,4.0,983
2,1,513.187,422.328,4.0,1009
2,1,536.187,379.328,2.0,979
2,1,513.187,427.328,6.0,943
2,1,492.187,412.328,2.0,1009
2,1,528.187,382.328,2.0,810
2,1,496.187,405.328,4.0,769
2,1,554.187,396.328,6.0,704
2,1,508.187,418.328,2.0,729
2,1,505.187,426.328,0.0,746
2,1,544.187,387.328,4.0,832
2,1,552.187,386.328,0.0,712
2,1,501.187,405.328,0.0,745
2,1,559.187,390.328,2.0,810
2,1,515.187,397.328,6.0,679
2,1,527.187,382.328,6.0,693
2,1,545.187,367.328,1.0,678
2,1,520.187,385.328,5.0,727
2,1,527.187,395.328,5.0,724
2,1,521.187,376.328,6.0,654
2,1,508.187,379.328,6.0,587
2,1,512.187,415.328,4.0,688
2,1,544.187,391.328,4.0,606
2,1,517.187,425.328,6.0,614
2,1,534.187,414.328,4.0,645
