cpath,cost,value,cc,cc_size,xs,ys,zs
"[13167, 20491, 40098, 63877]",14.251363518937698,157,34,1,"[401.86, 401.875, 402.405, 401.888]","[111.971, 111.708, 111.444, 111.708]","[0.0, 0.0, 0.0, 0.0]"
"[13394, 20422, 40592, 63532]",14.108172554409888,157,35,1,"[803.86, 803.875, 804.405, 803.888]","[1388.971, 1388.708, 1388.444, 1388.708]","[0.0, 0.0, 0.0, 0.0]"
"[13983, 21291, 40910, 65415]",14.158997813240093,157,36,1,"[182.86, 182.875, 183.405, 182.888]","[1289.971, 1289.708, 1289.444, 1289.708]","[0.0, 0.0, 0.0, 0.0]"
"[14274, 20473, 43336, 65689]",19.944552555617467,157,37,1,"[783.86, 783.875, 783.405, 783.888]","[297.971, 298.708, 298.444, 298.708]","[0.0, 0.0, 0.0, 0.0]"
"[14743, 20376, 41014, 63665]",13.718882781676554,157,38,1,"[1408.86, 1408.875, 1409.405, 1408.888]","[1010.971, 1010.708, 1010.444, 1010.708]","[0.0, 0.0, 0.0, 0.0]"
"[14798, 21196, 41945, 63935]",12.158728838507365,157,39,1,"[1060.86, 1060.875, 1060.405, 1060.888]","[471.971, 471.708, 471.444, 471.708]","[0.0, 0.0, 0.0, 0.0]"
"[15640, 18773, 44702, 65164]",16.09146873078044,577,40,1,"[1737.733, 1737.464, 1737.604, 1737.888]","[1930.284, 1929.624, 1929.627, 1929.708]","[0.0, 0.0, 0.0, 0.0]"
"[15673, 20395, 44284, 53202]",7.726358843588471,634,41,1,"[930.733, 930.875, 930.604, 930.516]","[675.284, 675.7080000000002, 675.627, 675.5139999999999]","[0.0, 0.0, 0.0, 0.0]"
"[15988, 21849, 29554, 62947]",6.917435467383121,260,42,1,"[1624.76, 1624.6660000000004, 1624.375, 1624.3629999999996]","[599.758, 599.432, 599.563, 599.654]","[0.0, 0.0, 0.0, 0.0]"
"[16028, 23173, 39404, 56686]",18.432414385995404,361,43,1,"[819.76, 820.409, 819.569, 819.825]","[1228.758, 1228.841, 1229.109, 1228.733]","[0.0, 0.0, 0.0, 0.0]"
"[16181, 22286, 37000, 51427]",5.020400460557915,240,44,1,"[1580.76, 1580.6660000000004, 1580.881, 1580.61]","[274.758, 274.432, 274.372, 274.547]","[0.0, 0.0, 0.0, 0.0]"
"[16243, 18458, 40380, 64892]",9.166616850512247,100,45,1,"[1335.76, 1335.464, 1335.405, 1335.888]","[483.758, 483.624, 483.444, 483.708]","[0.0, 0.0, 0.0, 0.0]"
"[16268, 17882, 40656, 64342]",8.56097146214813,100,46,1,"[1710.76, 1710.464, 1710.405, 1710.888]","[313.758, 313.624, 313.444, 313.708]","[0.0, 0.0, 0.0, 0.0]"
"[16393, 20627, 35577, 64090]",4.46400886039097,616,47,1,"[117.76, 117.875, 117.881, 117.888]","[675.758, 675.7080000000002, 675.372, 675.7080000000002]","[0.0, 0.0, 0.0, 0.0]"
"[16417, 26140, 30020, 52921]",19.795724957205795,42,48,1,"[787.76, 788.1569999999998, 788.375, 787.5160000000002]","[843.758, 843.405, 843.563, 843.5139999999999]","[0.0, 0.0, 0.0, 0.0]"
"[16446, 22121, 30059, 61595]",18.93567206461439,260,49,1,"[1912.76, 1912.666, 1913.375, 1913.363]","[1623.7579999999996, 1623.432, 1623.563, 1623.654]","[0.0, 0.0, 0.0, 0.0]"
"[16482, 18238, 42131, 64169]",17.36973280490826,100,50,1,"[386.76, 386.464, 386.405, 385.888]","[289.758, 289.624, 289.444, 289.708]","[0.0, 0.0, 0.0, 0.0]"
"[16535, 17940, 40479, 64301]",8.727700852097524,100,51,1,"[1725.76, 1725.464, 1725.405, 1725.888]","[1220.758, 1220.624, 1220.444, 1220.708]","[0.0, 0.0, 0.0, 0.0]"
"[16933, 22133, 46205, 59657]",16.725693873799585,542,52,1,"[809.76, 809.666, 809.6039999999998, 809.822]","[1001.758, 1002.432, 1002.627, 1002.223]","[0.0, 0.0, 0.0, 0.0]"
"[17543, 20948, 37231, 63894]",12.842486583011965,616,53,1,"[1152.76, 1152.875, 1152.881, 1152.888]","[1355.7579999999996, 1355.708, 1356.372, 1355.708]","[0.0, 0.0, 0.0, 0.0]"
