ch,x,y,z,int
1,857.0,1945.0,5.0,751
1,887.0,1600.0,3.0,690
1,1295.0,1269.0,3.0,736
1,160.0,1675.0,2.0,746
1,430.0,951.0,6.0,763
1,880.0,574.0,2.0,764
1,839.0,113.0,7.0,781
1,456.0,682.0,5.0,736
1,1317.0,1267.0,1.0,781
1,1239.0,303.0,2.0,740
1,1040.0,658.0,6.0,727
1,1613.0,98.0,6.0,723
1,1215.0,127.0,7.0,715
1,1345.0,1029.0,2.0,753
1,1386.0,1460.0,5.0,1200
1,1161.0,1029.0,3.0,702
1,1093.0,881.0,2.0,730
1,965.0,1204.0,2.0,802
1,1320.0,365.0,4.0,758
1,1305.0,826.0,4.0,713
1,1012.0,1864.0,4.0,701
1,499.0,1683.0,3.0,734
1,80.0,1230.0,5.0,682
1,834.0,1782.0,4.0,761
1,1695.0,1430.0,5.0,663
1,958.0,1667.0,7.0,1034
1,1071.0,1039.0,7.0,746
1,961.0,433.0,9.0,978
1,855.0,528.0,3.0,745
1,1239.0,1664.0,4.0,760
1,580.0,1567.0,3.0,739
1,1033.0,361.0,3.0,671
1,1839.0,1120.0,4.0,676
1,1099.0,1768.0,2.0,707
1,687.0,795.0,2.0,768
1,1293.0,1328.0,6.0,813
1,1595.0,481.0,10.0,663
1,1043.0,487.0,2.0,667
1,1098.0,332.0,3.0,687
1,1754.0,1154.0,3.0,704
1,1770.0,1134.0,4.0,671
1,1088.0,36.0,5.0,673
1,1087.0,1063.0,3.0,746
1,1123.0,1687.0,2.0,695
1,1038.0,1348.0,4.0,722
1,958.0,1667.0,12.0,1010
1,883.0,1479.0,5.0,694
1,961.0,433.0,0.0,978
1,526.0,1775.0,6.0,724
1,410.0,1532.0,6.0,717
1,1629.0,1824.0,4.0,970
1,1110.0,688.0,2.0,657
1,788.0,1668.0,6.0,703
1,1389.0,1413.0,3.0,683
1,1246.0,1742.0,5.0,1144
1,961.0,433.0,5.0,1023
1,994.0,1029.0,3.0,728
1,1111.0,891.0,2.0,761
