hyb,ch,x,y,z,int,sum_3x3_int_ch1
12,1,947.0,728.0,6.0,11687,2359
12,1,1265.0,1100.0,4.0,11895,42801
12,1,980.0,845.0,5.0,12220,3411
12,1,196.0,2014.0,6.0,12921,3023
12,1,666.0,1024.0,5.0,11807,9509
12,1,1471.0,732.0,5.0,11356,10144
12,1,787.0,558.0,5.0,12759,3462
12,1,1255.0,850.0,5.0,12001,6158
12,1,997.0,666.0,5.0,12392,3437
12,1,549.0,1468.0,6.0,12093,13050
12,1,392.0,1429.0,7.0,12323,2364
12,1,484.0,953.0,6.0,12032,29514
12,1,1235.0,689.0,5.0,12596,3672
12,1,1816.0,1029.0,6.0,13133,30074
12,1,920.0,488.0,6.0,12453,2212
12,1,52.0,539.0,7.0,12726,2158
12,1,441.0,1172.0,5.0,10915,15244
12,1,972.0,1204.0,5.0,12630,46355
12,1,1296.0,594.0,5.0,12495,4205
12,1,1124.0,674.0,7.0,11957,2581
12,1,564.0,856.0,6.0,12786,36174
12,1,347.0,1092.0,5.0,12057,4058
12,1,1091.0,1090.0,6.0,11766,5893
12,1,553.0,804.0,5.0,12765,6701
12,1,809.0,1025.0,7.0,11309,3401
12,1,657.0,1235.0,5.0,11270,9632
12,1,231.0,1772.0,6.0,12695,17046
12,1,1430.0,659.0,5.0,12327,73903
12,1,1819.0,1019.0,5.0,12388,77880
12,1,1069.0,1080.0,6.0,13133,3095
12,1,1695.0,1284.0,6.0,11314,16132
12,1,912.0,711.0,6.0,12362,2247
12,1,878.0,269.0,6.0,11561,2225
12,1,445.0,1097.0,5.0,12080,3709
12,1,1464.0,644.0,6.0,11470,40932
12,1,433.0,1733.0,5.0,13086,25790
12,1,935.0,1239.0,5.0,12520,56196
12,1,55.0,635.0,6.0,11109,2176
12,1,1278.0,903.0,5.0,11557,9904
12,1,1454.0,1018.0,5.0,12098,4680
12,1,372.0,1071.0,6.0,12667,2511
12,1,660.0,1619.0,13.0,10729,23333
12,1,1595.0,1101.0,5.0,12573,4927
12,1,1792.0,535.0,6.0,12742,25515
