hyb,ch,x,y,z,int
0,1,954.0,1590.0,0.0,1978
0,1,952.0,1653.0,0.0,1635
0,1,932.0,1590.0,0.0,1378
0,1,959.0,1647.0,0.0,1177
0,1,953.0,1631.0,6.0,908
0,1,948.0,1637.0,4.0,973
0,1,942.0,1591.0,0.0,818
0,1,954.0,1643.0,6.0,863
0,1,964.0,1612.0,0.0,658
1,1,928.801,1651.017,1.0,1559
1,1,957.801,1590.017,0.0,1483
1,1,958.801,1637.017,3.0,1020
1,1,920.801,1651.017,0.0,918
1,1,939.801,1614.017,0.0,905
1,1,918.801,1626.017,1.0,675
1,1,938.801,1597.017,0.0,748
1,1,961.801,1615.017,6.0,675
1,1,912.801,1588.017,2.0,606
1,1,950.801,1649.017,5.0,702
1,1,946.801,1603.017,6.0,621
1,1,936.801,1601.017,0.0,635
1,1,955.801,1647.017,6.0,610
1,1,957.801,1612.017,6.0,596
1,1,963.801,1612.017,0.0,581
1,1,948.801,1635.017,5.0,584
2,1,907.203,1630.32,0.0,1008
2,1,955.203,1630.32,4.0,979
2,1,914.203,1582.32,2.0,879
2,1,911.203,1594.32,0.0,690
2,1,912.203,1607.32,3.0,768
2,1,964.203,1609.32,0.0,739
2,1,933.203,1601.32,0.0,638
2,1,957.203,1616.32,5.0,709
2,1,924.203,1643.32,3.0,675
2,1,950.203,1634.32,3.0,756
2,1,935.203,1616.32,6.0,685
2,1,948.203,1575.32,4.0,688
2,1,937.203,1611.32,5.0,766
2,1,955.203,1590.32,1.0,553
2,1,932.203,1614.32,3.0,602
2,1,961.203,1608.32,4.0,565
2,1,951.203,1597.32,2.0,564
2,1,937.203,1575.32,1.0,573
2,1,934.203,1644.32,2.0,578
3,1,945.194,1633.9029999999998,0.0,2006
3,1,953.194,1616.9029999999998,0.0,1755
3,1,940.194,1609.9029999999998,2.0,1548
3,1,960.194,1614.9029999999998,3.0,1326
3,1,918.194,1599.9029999999998,4.0,1212
3,1,936.194,1576.9029999999998,0.0,1092
3,1,935.194,1642.9029999999998,0.0,1118
3,1,955.194,1624.9029999999998,4.0,1022
3,1,962.194,1605.9029999999998,0.0,978
3,1,927.194,1603.9029999999998,2.0,930
3,1,919.194,1587.9029999999998,4.0,813
3,1,915.194,1578.9029999999998,6.0,748
3,1,920.194,1574.9029999999998,0.0,794
3,1,922.194,1580.9029999999998,0.0,741
3,1,939.194,1622.9029999999998,0.0,656
3,1,956.194,1638.9029999999998,1.0,732
3,1,932.194,1592.9029999999998,3.0,734
3,1,924.194,1642.9029999999998,3.0,727
3,1,926.194,1590.9029999999998,5.0,695
3,1,926.194,1576.9029999999998,1.0,713
3,1,952.194,1638.9029999999998,6.0,656
3,1,911.194,1577.9029999999998,1.0,705
3,1,914.194,1597.9029999999998,6.0,703
4,1,926.902,1647.03,3.0,782
4,1,928.902,1619.03,3.0,696
4,1,923.902,1582.03,4.0,731
4,1,915.902,1586.03,2.0,670
4,1,964.902,1604.03,3.0,695
4,1,935.902,1584.03,6.0,624
4,1,944.902,1599.03,6.0,596
4,1,930.902,1651.03,3.0,611
4,1,933.902,1588.03,3.0,587
4,1,927.902,1634.03,1.0,573
4,1,958.902,1647.03,3.0,599
4,1,944.902,1644.03,2.0,566
4,1,955.902,1586.03,5.0,552
4,1,947.902,1646.03,1.0,562
4,1,962.902,1646.03,2.0,564
5,1,950.481,1629.119,0.0,2073
5,1,961.481,1640.119,1.0,2066
5,1,910.481,1615.119,2.0,2211
5,1,915.481,1615.119,1.0,1919
5,1,921.481,1639.119,0.0,1830
5,1,944.481,1636.119,0.0,1743
5,1,912.481,1626.119,3.0,1600
5,1,959.481,1609.119,3.0,1523
5,1,936.481,1626.119,0.0,1439
5,1,952.481,1607.119,1.0,1455
5,1,951.481,1598.119,3.0,1316
5,1,940.481,1650.119,0.0,1361
5,1,930.481,1588.119,0.0,1304
5,1,928.481,1587.119,0.0,1181
5,1,933.481,1647.119,2.0,1108
5,1,954.481,1653.119,6.0,1166
5,1,931.481,1651.119,3.0,1145
5,1,958.481,1636.119,0.0,1057
5,1,963.481,1603.119,5.0,1026
5,1,928.481,1645.119,0.0,1071
5,1,947.481,1618.119,5.0,1056
5,1,942.481,1620.119,6.0,966
5,1,928.481,1647.119,4.0,1105
5,1,945.481,1631.119,4.0,1067
5,1,959.481,1620.119,2.0,886
5,1,924.481,1635.119,2.0,1051
5,1,928.481,1637.119,4.0,938
5,1,943.481,1632.119,6.0,978
5,1,926.481,1655.119,2.0,862
5,1,917.481,1596.119,0.0,793
