hyb,ch,x,y,z,int
0,1,1585.0,1193.0,0.0,1045
0,1,1578.0,1173.0,1.0,978
0,1,1554.0,1144.0,1.0,969
0,1,1573.0,1137.0,4.0,733
0,1,1593.0,1186.0,6.0,810
0,1,1571.0,1121.0,6.0,673
0,1,1546.0,1145.0,0.0,662
0,1,1557.0,1163.0,4.0,616
0,1,1522.0,1159.0,1.0,628
0,1,1546.0,1158.0,3.0,574
0,1,1570.0,1133.0,2.0,600
0,1,1581.0,1178.0,0.0,624
0,1,1507.0,1199.0,6.0,582
0,1,1561.0,1155.0,3.0,651
0,1,1522.0,1190.0,5.0,622
0,1,1591.0,1190.0,5.0,664
0,1,1558.0,1184.0,2.0,633
0,1,1553.0,1158.0,6.0,574
0,1,1556.0,1157.0,6.0,567
0,1,1573.0,1149.0,3.0,548
0,1,1513.0,1214.0,6.0,608
0,1,1558.0,1156.0,1.0,547
0,1,1578.0,1161.0,2.0,547
1,1,1557.8,1157.024,0.0,578
1,1,1557.8,1157.024,5.0,523
1,1,1577.8,1162.024,0.0,558
2,1,1583.187,1170.328,0.0,1326
2,1,1589.187,1182.328,2.0,1210
2,1,1584.187,1159.328,4.0,1014
2,1,1587.187,1182.328,2.0,1281
2,1,1559.187,1154.328,2.0,1067
2,1,1596.187,1183.328,0.0,939
2,1,1601.187,1179.328,4.0,860
2,1,1551.187,1151.328,3.0,804
2,1,1539.187,1153.328,2.0,720
2,1,1510.187,1195.328,1.0,769
2,1,1575.187,1150.328,3.0,688
2,1,1550.187,1141.328,4.0,635
2,1,1584.187,1188.328,6.0,607
2,1,1520.187,1174.328,0.0,580
2,1,1549.187,1146.328,2.0,633
2,1,1590.187,1186.328,0.0,708
2,1,1573.187,1163.328,0.0,622
2,1,1507.187,1206.328,4.0,635
2,1,1546.187,1169.328,6.0,598
2,1,1569.187,1163.328,3.0,586
2,1,1571.187,1137.328,5.0,572
2,1,1580.187,1164.328,0.0,641
2,1,1555.187,1153.328,1.0,606
2,1,1549.187,1126.328,2.0,556
2,1,1579.187,1130.328,0.0,521
2,1,1536.187,1142.328,0.0,512
2,1,1533.187,1152.328,5.0,531
2,1,1585.187,1131.328,3.0,526
2,1,1563.187,1155.328,0.0,702
2,1,1597.187,1186.328,3.0,576
2,1,1592.187,1183.328,6.0,512
2,1,1527.187,1162.328,4.0,564
2,1,1563.187,1145.328,0.0,542
2,1,1527.187,1162.328,2.0,570
2,1,1558.187,1157.328,4.0,566
2,1,1531.187,1207.328,2.0,528
2,1,1578.187,1162.328,3.0,578
3,1,1552.183,1147.896,3.0,804
3,1,1529.183,1209.896,0.0,679
3,1,1589.183,1162.896,0.0,589
3,1,1594.183,1183.896,3.0,632
3,1,1556.183,1145.896,4.0,587
3,1,1559.183,1159.896,6.0,557
3,1,1563.183,1154.896,0.0,595
3,1,1578.183,1162.896,0.0,593
3,1,1558.183,1157.896,3.0,579
3,1,1531.183,1207.896,6.0,529
4,1,1555.898,1152.017,0.0,840
4,1,1589.898,1164.017,0.0,769
4,1,1518.898,1189.017,0.0,717
4,1,1533.898,1167.017,2.0,694
4,1,1520.898,1202.017,2.0,686
4,1,1526.898,1152.017,6.0,617
4,1,1570.898,1166.017,6.0,610
4,1,1558.898,1153.017,2.0,733
4,1,1564.898,1204.017,2.0,653
4,1,1557.898,1158.017,2.0,688
4,1,1530.898,1208.017,2.0,754
4,1,1506.898,1197.017,2.0,609
4,1,1522.898,1214.017,2.0,650
4,1,1560.898,1163.017,6.0,538
4,1,1600.898,1170.017,2.0,537
4,1,1550.898,1127.017,2.0,544
4,1,1591.898,1162.017,2.0,600
4,1,1577.898,1163.017,2.0,659
4,1,1533.898,1200.017,2.0,569
4,1,1591.898,1145.017,6.0,518
4,1,1516.898,1200.017,2.0,569
4,1,1543.898,1140.017,2.0,574
4,1,1572.898,1186.017,2.0,566
4,1,1521.898,1190.017,6.0,517
4,1,1572.898,1204.017,5.0,523
4,1,1513.898,1208.017,2.0,515
4,1,1574.898,1183.017,4.0,579
4,1,1526.898,1163.017,2.0,572
4,1,1565.898,1178.017,3.0,516
4,1,1589.898,1139.017,2.0,523
4,1,1579.898,1190.017,2.0,549
4,1,1578.898,1132.017,2.0,571
4,1,1564.898,1192.017,2.0,560
4,1,1537.898,1158.017,2.0,508
4,1,1557.898,1178.017,6.0,495
4,1,1559.898,1201.017,2.0,555
4,1,1526.898,1159.017,2.0,566
4,1,1587.898,1186.017,2.0,539
4,1,1540.898,1140.017,2.0,542
4,1,1542.898,1171.017,2.0,519
4,1,1525.898,1209.017,2.0,521
4,1,1559.898,1209.017,2.0,489
4,1,1586.898,1194.017,2.0,524
4,1,1578.898,1198.017,2.0,511
4,1,1569.898,1188.017,2.0,492
4,1,1553.898,1153.017,5.0,531
4,1,1525.898,1189.017,2.0,500
4,1,1557.898,1186.017,2.0,548
4,1,1572.898,1180.017,2.0,512
4,1,1577.898,1160.017,2.0,562
4,1,1530.898,1150.017,3.0,480
4,1,1572.898,1164.017,2.0,533
4,1,1586.898,1145.017,2.0,531
4,1,1526.898,1141.017,2.0,570
4,1,1578.898,1146.017,2.0,501
4,1,1577.898,1135.017,2.0,545
4,1,1526.898,1171.017,2.0,491
4,1,1584.898,1184.017,2.0,532
4,1,1539.898,1198.017,2.0,480
4,1,1553.898,1135.017,2.0,487
4,1,1516.898,1174.017,2.0,498
4,1,1575.898,1143.017,2.0,544
4,1,1578.898,1141.017,2.0,509
4,1,1508.898,1200.017,2.0,521
4,1,1525.898,1181.017,2.0,493
4,1,1556.898,1166.017,2.0,501
4,1,1531.898,1157.017,2.0,511
4,1,1562.898,1207.017,2.0,514
4,1,1537.898,1180.017,2.0,477
4,1,1574.898,1192.017,2.0,567
4,1,1577.898,1157.017,2.0,510
4,1,1578.898,1195.017,2.0,537
4,1,1578.898,1173.017,2.0,490
4,1,1555.898,1132.017,2.0,518
4,1,1576.898,1186.017,2.0,499
4,1,1561.898,1124.017,2.0,467
4,1,1593.898,1190.017,6.0,513
4,1,1549.898,1142.017,2.0,501
4,1,1531.898,1204.017,2.0,497
4,1,1545.898,1162.017,2.0,497
4,1,1559.898,1131.017,2.0,530
4,1,1578.898,1154.017,2.0,524
4,1,1536.898,1212.017,2.0,505
4,1,1526.898,1206.017,2.0,470
4,1,1579.898,1185.017,2.0,518
4,1,1561.898,1170.017,2.0,478
4,1,1578.898,1152.017,2.0,505
4,1,1524.898,1203.017,2.0,476
4,1,1512.898,1211.017,2.0,533
4,1,1561.898,1192.017,2.0,501
4,1,1534.898,1160.017,2.0,537
