hyb,ch,x,y,z,int
0,1,1471.0,1393.0,2.0,749
0,1,1451.0,1361.0,4.0,577
0,1,1471.0,1393.0,6.0,709
0,1,1479.0,1389.0,6.0,561
0,1,1452.0,1357.0,3.0,572
0,1,1467.0,1383.0,6.0,643
0,1,1442.0,1362.0,0.0,533
0,1,1441.0,1365.0,1.0,548
0,1,1467.0,1383.0,0.0,567
1,1,1469.805,1382.0120000000004,3.0,828
1,1,1470.805,1371.0120000000004,6.0,819
1,1,1451.805,1381.0120000000004,4.0,747
1,1,1456.805,1367.0120000000004,6.0,732
1,1,1473.805,1381.0120000000004,3.0,799
1,1,1436.805,1362.0120000000004,4.0,670
1,1,1455.805,1366.0120000000004,3.0,756
1,1,1470.805,1375.0120000000004,2.0,709
1,1,1474.805,1388.0120000000004,0.0,578
1,1,1450.805,1368.0120000000004,5.0,634
1,1,1484.805,1379.0120000000004,0.0,598
1,1,1470.805,1394.0120000000004,6.0,791
1,1,1470.805,1394.0120000000004,1.0,780
1,1,1466.805,1384.0120000000004,1.0,632
2,1,1437.1729999999998,1361.339,0.0,807
2,1,1424.1729999999998,1379.339,3.0,912
2,1,1421.1729999999998,1376.339,2.0,866
2,1,1456.1729999999998,1368.339,4.0,675
2,1,1472.1729999999998,1372.339,4.0,673
2,1,1425.1729999999998,1372.339,1.0,629
2,1,1449.1729999999998,1368.339,3.0,594
2,1,1471.1729999999998,1394.339,2.0,753
2,1,1471.1729999999998,1394.339,6.0,687
2,1,1447.1729999999998,1359.339,6.0,617
2,1,1473.1729999999998,1375.339,3.0,581
3,1,1471.196,1394.871,3.0,735
3,1,1471.196,1394.871,0.0,702
4,1,1484.918,1384.993,4.0,699
4,1,1458.918,1369.993,0.0,605
4,1,1451.918,1381.993,2.0,622
4,1,1434.918,1370.993,2.0,580
4,1,1451.918,1389.993,4.0,570
4,1,1470.918,1394.993,1.0,745
4,1,1474.918,1386.993,4.0,552
4,1,1476.918,1390.993,2.0,558
4,1,1470.918,1394.993,5.0,667
4,1,1430.918,1373.993,2.0,546
4,1,1466.918,1384.993,3.0,541
5,1,1458.483,1368.1170000000004,0.0,731
5,1,1442.483,1359.1170000000004,3.0,638
5,1,1462.483,1367.1170000000004,6.0,678
5,1,1450.483,1368.1170000000004,0.0,661
5,1,1478.483,1399.1170000000004,5.0,586
5,1,1472.483,1379.1170000000004,3.0,616
5,1,1432.483,1383.1170000000004,0.0,550
5,1,1471.483,1395.1170000000004,4.0,756
5,1,1471.483,1395.1170000000004,0.0,738
5,1,1453.483,1364.1170000000004,2.0,570
5,1,1446.483,1387.1170000000004,2.0,553
5,1,1468.483,1360.1170000000004,4.0,560
5,1,1462.483,1375.1170000000004,3.0,565
5,1,1450.483,1360.1170000000004,6.0,591
5,1,1454.483,1358.1170000000004,4.0,599
5,1,1467.483,1385.1170000000004,0.0,573
5,1,1467.483,1385.1170000000004,6.0,575
6,1,1471.446,1395.13,6.0,736
6,1,1471.446,1395.13,0.0,727
6,1,1479.446,1384.13,4.0,508
6,1,1457.446,1360.13,2.0,511
6,1,1431.446,1374.13,0.0,514
6,1,1467.446,1385.13,5.0,536
6,1,1467.446,1385.13,1.0,561
6,1,1452.446,1358.13,3.0,508
7,1,1460.5410000000004,1366.651,2.0,811
7,1,1445.5410000000004,1366.651,6.0,691
7,1,1468.5410000000004,1377.651,6.0,701
