ch,x,y,z,int
1,874,1976,1,13987
1,923,1770,1,15289
1,1508,1373,1,11321
1,1979,1768,1,13776
1,851,1766,1,15564
1,243,967,1,13109
1,1935,1746,1,13125
1,1211,397,1,14462
1,1735,600,1,12850
1,713,1464,1,14419
1,1727,1777,1,13878
1,1235,427,1,13968
1,1481,274,1,14453
1,560,1725,1,13209
1,1513,525,1,14579
1,1422,403,1,13045
1,1797,1754,1,11907
1,1101,589,1,13895
1,1705,879,1,12684
1,981,1468,1,13721
1,746,1191,1,12957
1,1497,978,1,11102
1,996,1004,1,12140
1,1409,178,1,12803
1,1279,356,1,11859
1,1298,1331,1,10686
1,633,961,1,12771
1,1536,320,1,11333
1,1794,1204,1,12400
1,824,1736,1,11423
1,1373,1396,1,12431
1,1975,1172,1,10027
1,1648,1306,1,10686
1,1617,1164,1,11941
1,1609,230,1,12915
1,1704,1682,1,11578
1,1213,958,1,12619
1,1614,727,1,12341
1,601,447,1,10743
1,848,1719,1,11267
1,294,927,1,9559
1,1254,1847,1,11326
1,1156,832,1,10804
1,737,1019,1,12033
1,1315,757,1,9853
1,275,1241,1,10186
1,488,301,1,7781
1,796,1761,1,10008
1,1979,1320,1,10557
1,1165,1416,1,9248
1,1587,1722,1,9405
1,1588,757,1,11120
1,1684,646,1,11035
1,1720,1151,1,10913
1,583,464,1,9483
1,1377,1642,1,11116
1,1029,1766,1,10985
1,867,1740,1,10135
1,1289,520,1,8383
1,656,1556,1,10118
1,692,1168,1,10392
1,402,1314,1,10088
1,1255,1806,1,8722
1,324,1224,1,9935
1,1259,1885,1,8825
1,625,1434,1,11179
1,1692,806,1,10332
1,1985,1821,1,8890
1,713,1912,1,9428
1,1726,472,1,8971
1,1920,1885,1,8342
1,2036,1540,1,8138
1,1342,1930,1,8863
1,1336,496,1,7040
1,684,1159,1,10425
1,1200,333,1,10295
1,1172,643,1,9492
1,1080,750,1,8835
1,1697,1725,1,8349
1,2020,238,1,8643
1,2004,474,1,8774
1,1594,1016,1,8640
1,1096,1427,1,9392
1,1958,1464,1,8326
1,764,1816,1,8840
1,1436,997,1,8997
1,1362,2011,1,8327
1,1745,2025,1,7945
1,630,1438,1,10181
1,1109,413,1,6438
1,1955,707,1,8227
1,1181,536,1,9222
1,786,880,1,9063
1,1534,1026,1,7407
1,1193,1027,1,7380
1,849,965,1,8549
1,667,292,1,8035
1,1396,940,1,7863
1,1658,215,1,6808
1,1366,1646,1,7622
1,1077,1018,1,7882
1,375,334,1,7805
1,1840,1286,1,7923
1,804,2044,1,7260
1,839,1430,1,8356
1,1202,1364,1,7802
1,491,103,1,7317
1,324,1439,1,6473
1,197,1139,1,7263
1,1888,407,1,6439
1,150,863,1,5601
1,1553,231,1,7703
1,1880,1954,1,6897
1,1639,1028,1,7603
1,1157,632,1,7304
1,325,224,1,5598
1,1830,1967,1,6418
1,1770,1896,1,6727
1,1881,1476,1,5653
1,1719,1855,1,5956
1,1773,2013,1,5766
1,1363,1980,1,5988
1,1132,1955,1,6362
1,531,439,1,6547
1,1249,1916,1,5316
1,124,693,1,4651
1,1929,1830,1,5655
1,478,309,1,5852
1,1593,1795,1,5630
1,1393,1590,1,6107
1,206,156,1,4958
1,1536,222,1,6321
1,815,1484,1,5115
1,132,772,1,5322
1,1978,1256,1,5699
1,1163,1095,1,6299
1,668,127,1,5890
1,848,1983,1,5889
1,74,1478,1,4277
1,1840,1252,1,5933
1,773,146,1,6014
1,1634,1349,1,5090
1,1507,144,1,6360
1,673,1101,1,5550
1,1372,991,1,6309
1,1449,1303,1,4595
1,129,1265,1,4966
1,271,349,1,5317
1,1994,1191,1,4202
1,1764,609,1,5073
1,1234,1981,1,4402
1,1841,384,1,4844
1,1942,288,1,5234
1,1093,46,1,4031
1,844,1754,1,5485
1,1763,620,1,4536
1,1983,1696,1,4082
1,2047,520,1,4691
1,635,1087,1,4018
1,419,219,1,4028
1,359,1213,1,4391
1,27,909,1,4213
1,856,1521,1,4458
1,30,914,1,4022
2,1552,353,0,48120
2,1834,1918,0,34405
2,861,974,0,30592
2,1337,497,0,25328
2,1110,415,0,24857
2,1508,1373,0,23281
2,489,302,0,23518
2,1534,1585,0,21788
2,295,927,0,18909
2,1078,970,0,19647
2,583,1826,0,16618
2,1261,1491,0,18043
2,344,1291,0,17608
2,1290,521,0,16360
2,875,1975,0,16245
2,402,1314,0,16363
2,1250,1916,0,14989
2,1704,1682,0,16189
2,1058,956,0,15792
2,1422,403,0,14770
2,244,967,0,14666
2,1449,1303,0,12987
2,1734,601,0,13854
2,1165,1416,0,14363
2,1587,1722,0,14285
2,1097,1427,0,14483
2,1121,110,0,13905
2,1315,758,0,14165
2,1255,1806,0,13248
2,997,1004,0,13670
2,1157,832,0,14046
2,750,1201,0,12792
2,768,1532,0,13586
2,1797,1754,0,12770
2,1235,1980,0,12382
2,1955,1299,0,12154
2,1260,1885,0,12211
2,797,1761,0,13164
2,1935,1746,0,12540
2,1719,1855,0,12234
2,198,1139,0,12761
2,1648,1306,0,11820
2,1543,581,0,12281
2,1773,2012,0,11348
2,1546,1654,0,11351
2,31,1080,0,56316
2,75,2039,0,10456
2,1634,1349,0,10847
2,1342,1930,0,12029
2,126,694,0,11369
2,668,292,0,11644
2,171,1994,0,10029
2,1015,1429,0,11842
2,1727,1777,0,12031
2,1157,632,0,12000
2,1279,356,0,11897
2,1658,216,0,11091
2,1202,1364,0,11413
2,523,1414,0,11222
2,1668,466,0,10971
2,1299,1330,0,11227
2,76,1478,0,10353
2,1366,1645,0,10541
2,713,1912,0,10435
2,217,847,0,10403
2,1362,2011,0,10955
2,1383,1636,0,10967
2,601,448,0,10747
